region;sppName;latinName;RFMO;RFMO_Stock_ID;FIDES_stockID;area;areaBis;TAC area description;Comments;;;;;
North Atlantic;Tortonese's stingray;Dasyatis tortonesei;ICES;;No TAC;VII, VIII;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;;;;;;;
North Atlantic;Pelagic stingray;Dasyatis violacea;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Pteroplatytrygon violacea;;;;;
North Atlantic;Birdbeak dogfish;Deania calcea;ICES;;DCAXDS;V, VI, VII, IX, X, XII;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12;;;;;;;
North Atlantic;Birdbeak dogfish;Deania calcea;ICES;;No TAC;V, VI, VII, IX, X, XII;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_9,27_10,27_12;;;;;;;
North Atlantic;Sea bass;Dicentrarchus labrax;ICES;;No TAC;all areas excluding IX;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10,27_12,27_14;;;;;;;
North Atlantic;Sea bass;Dicentrarchus labrax;ICES;;No TAC;IX;27_9;;;;;;;
North Atlantic;Wedge sole;Dicologlossa cuneata;ICES;;No TAC;VIIIc, IX;27_8_C,27_9;;;;;;;
North Atlantic;Flapper skate;Dipturus intermedius;ICES;;No TAC;IIa, V, VI, VII, VIII, IXa;27_2_A,27_5,27_6,27_7,27_8,27_9_A;;;;;;;
North Atlantic;Anchovy;Engraulis encrasicolus;ICES;;ANE9/3411;IXa (only Cadiz);27_9_A;;;;;;;
North Atlantic;Anchovy;Engraulis encrasicolus;ICES;;ANE08.;VIII;27_8;;;;;;;
North Atlantic;Velvet belly;Etmopterus spinax;ICES;;No TAC;VI, VII, VIII;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;;;;;;;
North Atlantic;Velvet belly;Etmopterus spinax;ICES;;No TAC;VI, VII, VIII;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K;;;;;;;
North Atlantic;Grey gurnard;Eutrigla gurnardus;ICES;;No TAC;VIIde;27_7_D,27_7_E;;;;;;;
North Atlantic;Cod;Gadus morhua;ICES;;No TAC;Va;27_5_A;;;;;;;
North Atlantic;Cod;Gadus morhua;ICES;;COD05B-F.;Vb;27_5_B;Faroe zone: Vb);;;;;;
North Atlantic;Cod;Gadus morhua;ICES;;COD5BE6A;VIa;27_6_A;Via,   EU and international waters of Vb east of 12W;;;;;;
North Atlantic;Cod;Gadus morhua;ICES;;COD5W6-14;Vib;27_6_B;Vib,   EU and international waters of Vb west of 12 W and of XII and XIV;;;;;;
North Atlantic;Cod;Gadus morhua;ICES;;COD07A.;VIIa;27_7_A;ICES division VIIa - Irish Sea;;;;;;
North Atlantic;Cod;Gadus morhua;ICES;;COD7XAD34;VIIe-k;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;VII b-c, e-k, VIII, IX and X, EC waters of CECAF 34.1.1;;;;;;
North Atlantic;Tope shark;Galeorhinus galeus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Blackmouth catshark;Galeus melastomus;ICES;;No TAC;VI, VII;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K ;;;;;;;
North Atlantic;Witch ;Glyptocephalus cynoglossus;ICES;;No TAC;VI, VII;27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;;;;
North Atlantic;Pacific longnose chimaera;Harriotta raleighana;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Bluemouth rockfish;Helicolenus dactylopterus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Bluntnose sixgill shark;Hexanchus griseus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Atlantic halibut;Hippoglossus hippoglossus;ICES;;HAL514GRN;V, XIV;27_5,27_14;;;;;;;
North Atlantic;Lobster;Homarus gammarus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Orange roughy;Hoplostethus atlanticus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Smalleyed rabbitfish;Hydrolagus affinis;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Large-eyed rabbitfish;Hydrolagus mirabilis;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Ghost shark;Hydrolagus pallidus;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Shortfin mako;Isurus oxyrinchus;ICES;;No TAC;all areas (North of 50°N);27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Porbeagle;Lamna nasus;ICES;;No TAC;all areas (subareas 1-14);27;;;;;;;
North Atlantic;Silver scabbardfish;Lepidopus caudatus;ICES;;SFSXDS;IXa;27_9_A;NEAFC Stock - Deep Sea Fisheries;;;;;;
North Atlantic;Four-spot megrim;Lepidorhombus boscii;ICES;;LEZ8C3411;VIIIc, IXa;27_8_C,27_9_A;VIIIc), IX, X,  COPACE 34.1.1 (1),   international waters of XII and XIV ;;;;;;
North Atlantic;Megrim;Lepidorhombus whiffiagonis;ICES;;LEZ56-14;VI;27_6;VI,  EU and international waters of Vb;;;;;;
North Atlantic;Megrim;Lepidorhombus whiffiagonis;ICES;;LEZ07.,LEZ8ABDE.;VII, VIIIabd;27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B;;;;;;;
North Atlantic;Megrim;Lepidorhombus whiffiagonis;ICES;;LEZ8C3411;VIIIc, IXa;27_8_C,27_9_A;;;;;;;
North Atlantic;Dab;Limanda limanda;ICES;;No TAC;VIIe;27_7_E;;;;;;;
North Atlantic;Dab;Limanda limanda;ICES;;No TAC;VIIa,f-h;27_7_A,27_7_F,27_7_G,27_7_H;;;;;;;
North Atlantic;Common squid;Loligo vulgaris;ICES;;No TAC;all areas excluding VIIIc, IXa;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E,27_9_ B,27_10,27_12,27_14;;;;;;;
North Atlantic;Common squid;Loligo vulgaris;ICES;;No TAC;VIIIc, IXa;27_8_C,27_9_A;;;;;;;
North Atlantic;Black-bellied angler;Lophius budegassa;ICES;;ANF2AC4-C,ANF56-14;IV, VI;27_4,27_6;;;;;;;
North Atlantic;Black-bellied angler;Lophius budegassa;ICES;;ANF07.,ANF8ABDE;VIIb-k, VIIIabd;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D;;;;;;;
North Atlantic;Black-bellied angler;Lophius budegassa;ICES;;ANF8C3411;VIIIc, IXa;27_8_C,27_9_A;;;;;;;
North Atlantic;Anglerfish;Lophius piscatorius;ICES;;ANF2AC4-C,ANF56-14;IV, VI;27_4,27_6;;;;;;;
North Atlantic;Anglerfish;Lophius piscatorius;ICES;;ANF07.,ANF8ABDE;VIIb-k, VIIIabd;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D;;;;;;;
North Atlantic;Anglerfish;Lophius piscatorius;ICES;;ANF8C3411;VIIIc, IXa;27_8_C,27_9_A;;;;;;;
North Atlantic;Spider crab;Maja squinado;ICES;;No TAC;V, VI, VII;27_5,27_6,27_7;;;;;;;
North Atlantic;Capelin;Mallotus villosus;ICES;;CAP514GRN;XIV;27_14;Greenland zone: V & XIV;;;;;;
North Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;No TAC;Va;27_5_A;;;;;;;
North Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD05B-F.;Vb;27_5_B;Faroe zone: Vb);;;;;;
North Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD5BC6A.;VIa;27_6_A;Vb) (1),  VIa). ;;;;;;
North Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD6B1214;Vib;27_6_B;Ec and international waters of Vib),  XII and XIV;;;;;;
North Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD07A.;VIIa;27_7_A;ICES division VIIa - Irish Sea;;;;;;
North Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD7X7A34;VIIb-k;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;VIIbcdefghjk, VII, IX, X, EC waters of CECAF 34.1.1;;;;;;
North Atlantic;Whiting;Merlangius merlangus;ICES;;WHG08.;VIII;27_8;;;;;;;
North Atlantic;Whiting;Merlangius merlangus;ICES;;WHG9/3411;IX, X;27_9,27_10;;;;;;;
North Atlantic;Whiting;Merlangius merlangus;ICES;;WHG56-14;Vb;27_5_B;;;;;;;
North Atlantic;Whiting;Merlangius merlangus;ICES;;WHG56-14;VIa;27_6_A;;;;;;;
North Atlantic;Whiting;Merlangius merlangus;ICES;;WHG56-14;Vib;27_6_B;;;;;;;
North Atlantic;Whiting;Merlangius merlangus;ICES;;WHG07A.;VIIa;27_7_A;;;;;;;
North Atlantic;Whiting;Merlangius merlangus;ICES;;WHG7X7A-C;VIIe-k;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;;;;
North Atlantic;Hake;Merluccius merluccius;ICES;;HKE8ABDE,HKE571214;IIIa, IV, VI, VII, VIIIab;27_3_A,27_4,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B;VIIIabde, Vb (1), Vi, VII, XII, XIV;;;;;;
North Atlantic;Hake;Merluccius merluccius;ICES;;HKE8C3411;VIIIc, IXa;27_8_C,27_9_A;VIIIc), IX, X, COPACE 34.1.1 (1), internatina waters of XII and XIV;;;;;;
North Atlantic;Wedge sole;Microchirus variegatus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Blue whiting;Micromesistius poutassou;ICES;;WHB1X14;I-IX, XII, XIV;27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_12,27_14;ICES I-II, III, IV, V, VII, VIIIabde, XII and XIV (EC and international waters);;;;;;
North Atlantic;Lemon sole;Microstomus kitt;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Blue ling;Molva dypterygia;ICES;;BLI5B67-;all areas excluding X;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_12,27_14;EU waters of Iia, IV, Vb, VI and VII;;;;;;
North Atlantic;Spanish ling;Molva macrophthalma;ICES;;No TAC;X;27_10;;;;;;;
North Atlantic;Ling;Molva molva;ICES;;LIN6X14.;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;VI, VII, VIII, IX, X, XII, XIV (1)(2);;;;;;
North Atlantic;Striped red mullet;Mullus surmuletus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Starry smooth-hound;Mustelus asterias;ICES;;No TAC;VI, VII, VIII, IX;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K;;;;;;;
North Atlantic;Smooth-hound;Mustelus mustelus;ICES;;No TAC;VI, VII, VIII, IX;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K;;;;;;;
North Atlantic;Blackspotted smooth-hound;Mustelus punctulatus;ICES;;No TAC;VI, VII, VIII, IX;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K;;;;;;;
North Atlantic;Common eagle ray;Myliobatis aquila;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP5BC6.;VI Fuctional unit 11;nep-11;Vb) (1), VI;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP5BC6.;VI Fuctional unit 12;nep-12;Vb) (1), VI;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP5BC6.;VI Fuctional unit 13;nep-13;Vb) (1), VI;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP07.;VII Functional unit 14;nep-14;VII;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP07.;VII Functional unit 15;nep-15;VII;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP*07U16;VII Functional unit 16 (TAC FU16);27_7_C,27_C_K;Porcupine Bank - Unit 16;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP07.;VII Functional unit 17;nep-17;VII;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP07.;VII Functional unit 18 (TAC VII);27_7_B;VII;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP07.;VII Functional unit 19 (TAC VII);27_7_G,27_7_J;VII;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP07.;VII Functional unit 20-21 (TAC VII);27_7_H,27_7_G;VII;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP07.;VII Functional unit 22;nep-22;VII;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP8ABDE.;VIII,IX Functional unit 23,24;27_8_A,27_8_B;VIIIabde;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP08C.;VIII,IX Functional unit 25,31;27_8_C;ICES division VIIIc - Bay of Biscay - South;;;;;;
North Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP*9U267;VIIIk IX Functional unit 26-27, 28-29, 30;27_9_A;Functional Units 26 and 27 of ICES division IXa;;;;;;
North Atlantic;Common octopus;Octopus vulgaris;ICES;;No TAC;all areas excluding VIIIc, IXa;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E,27_9_B,27_10,27_12,27_14;;;;;;;
North Atlantic;Common octopus;Octopus vulgaris;ICES;;No TAC;VIIIc, IXa;27_8_C,27_9_A;;;;;;;
North Atlantic;Blackspot sea bream;Pagellus bogaraveo;ICES;;SBR09-,SBR10-;IXa, X;27_9_A,27_10;;;;;;;
North Atlantic;Pandalid shrimps;Pandalus spp;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Deepwater rose shrimp;Parapenaeus longirostris;ICES;;No TAC;IXa;27_9_A;;;;;;;
North Atlantic;Scallop;Pecten maximus;ICES;;No TAC;IV, VI, VII;27_4,27_6,27_7_E,27_7_A,27_7_B,27_7_C,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;;;;
North Atlantic;Greater Forkbeard;Phycis blennoides;ICES;;GFB567-,GFB89-,GFB1012-;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Should we add areas 1 II-III and IV? There also other TAC codes looking redundant;;;;;;
North Atlantic;Forkbeard;Phycis phycis;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE07A.;VIIa;27_7_A;ICES division VIIa - Irish Sea;;;;;;
North Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE7DE.;VIIe;27_7_E;VIIde;;;;;;
North Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE7FG.;VIIfg;27_7_F,27_7_G;VIIfg;;;;;;
North Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE7BC.;VIIbc;27_7_B,27_7_C;VIIbc ;;;;;;
North Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE7HJK.;VIIh-k;27_7_H,27_7_J,27_7_K;VIIhjk;;;;;;
North Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE8/3411;VIII,IX, X;27_8,27_9,27_10;VIII, IX, X, COPACE 34.1.1 (1);;;;;;
North Atlantic;Pollack;Pollachius pollachius;ICES;;POL08C.,POL56-14,POL8ABDE.;all areas except IX, X;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_12,27_14;Should it be a general rule to include all the codes?;;;;;;
North Atlantic;Pollack;Pollachius pollachius;ICES;;POL9/3411;IX, X;27_9,27_10;;;;;;;
North Atlantic;Saithe;Pollachius virens;ICES;;No TAC;Va;27_5_A;;;;;;;
North Atlantic;Saithe;Pollachius virens;ICES;;POK05B-F.;Vb;27_5_B;;;;;;;
North Atlantic;Saithe;Pollachius virens;ICES;;2A34.;IV,IIIa,VI;27_4_27_3_A,27_6;EU waters of IV and in IIIa;;;;;;
North Atlantic;Saithe;Pollachius virens;ICES;;POK7/3411;VII,VIII;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;VII, VIII, IX, X, COPACE 34.1.1(1);;;;;;
North Atlantic;Wreckfish;Polyprion americanus;ICES;;WRFXDS;X;27_10;NEAFC Stock - Deep Sea Fisheries;;;;;;
North Atlantic;Blue shark;Prionace glauca;ICES;;BSHAN05N;all areas (North of 5N);27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Turbot;Psetta maxima;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;False catshark;Pseudotriakis microdon;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Bull ray;Pteromylaeus bovinus;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;White skate;Raja alba;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Rostroraja alba;;;;;
North Atlantic;Mediterranean starry ray;Raja asterias;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Blue skate;Raja batis;ICES;;No TAC;IIa,V,VI,VII,VIII,IXa;27_2_A,27_5,27_6,27_7,27_8,27_9_A;;Dipturus batis;;;;;
North Atlantic;Blonde ray;Raja brachyura;ICES;;No TAC;VI,VIIa,VIIe-g,IXa;27_6,27_7_A,27_7_E,27_7_F,27_7_G,27_9_A;;;;;;;
North Atlantic;Sandy ray;Raja circularis;ICES;;No TAC;VI,VII,VIII;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K;;Leucoraja circularis;;;;;
North Atlantic;Thornback ray;Raja clavata;ICES;;No TAC;VI,VIIa,e-g,VIII,IXa;27_6,27_7_A,27_7_E,27_7_F,27_7_G,27_9_A;;;;;;;
North Atlantic;Shagreen ray;Raja fullonica;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Leucoraja fullonica;;;;;
North Atlantic;Round ray;Raja fyllae;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Rajella fyllae;;;;;
North Atlantic;Arctic skate;Raja hyperborea;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Amblyraja hyperborea;;;;;
North Atlantic;Sailray;Raja lintea;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Rajella lintea;;;;;
North Atlantic;Small-eyed ray;Raja microocellata;ICES;;RJE7FG;VIIe-g;27_7_E,27_7_F,27_7_G;;;;;;;
North Atlantic;Spotted ray;Raja montagui;ICES;;No TAC;VI,VIIa,VIIb,VIIe-h,j,VIII,IXa;27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_9_A;;;;;;;
North Atlantic;Cuckoo ray;Raja naevus;ICES;;No TAC;VI,VIIa-c,IXa;27_6,27_7_A,27_7_B,27_7_C,27_9_A;;Leucoraja naevus;;;;;
North Atlantic;Norwegian skate;Raja nidarosiensis;ICES;;No TAC;VI,VIIa-c,VIIe-h,VIIk;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_K;;Dipturus nidarosiensis;;;;;
North Atlantic;Longnosed skate;Raja oxyrinchus;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Dipturus oxyrinchus;;;;;
North Atlantic;Starry ray;Raja radiata;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Amblyraja radiata;;;;;
North Atlantic;Undulate ray;Raja undulata;ICES;;RJU*67AKD,RJU67AKXD,RJU8-C.,RJU9-C.;VIIb-c,VIIe-j,VIIIa-c,IXa;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8_A,27_8_B,27_8_C,27_9_A;;;;;;;
North Atlantic;;Rajella kukujevi;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Greenland halibut;Reinhardtius hippoglossoides;ICES;;GHL514GRN;V,XIV;27_5,27_14;Greenland zone: V & XIV;;;;;;
North Atlantic;Greenland halibut;Reinhardtius hippoglossoides;ICES;;GHL2A-C46;VI;27_6;EU waters of IIa and VI. In VI;;;;;;
North Atlantic;Straightnose rabbitfish;Rhinochimaera atlantica;ICES;;No TAC;V,XIV;27_5,27_14;;;;;;;
North Atlantic;Salmon;Salmo salar;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Sardine;Sardina pilchardus;ICES;;No TAC;VIIIabd;27_8_A,27_8_B,27_8_D;;;;;;;
North Atlantic;Sardine;Sardina pilchardus;ICES;;No TAC;VIIIc,IXa;27_8_C,27_9_A;;;;;;;
North Atlantic;Spanish mackerel;Scomber colias;ICES;;No TAC;VIII,IX,X;27_8,27_9,27_10;;;;;;;
North Atlantic;Mackerel;Scomber scombrus;ICES;;MAC2CX14-;II,IIIa,IV,V,VI,VII,VIII,IX;27_2,27_3_A,27_4,27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9;VI, VII, VIIIabde, EC waters of Vb,  international waters of Iia, XII and XIV;;;;;;
North Atlantic;Brill;Scophthalmus rhombus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Small-spotted catshark;Scyliorhinus canicula;ICES;;No TAC;VI,VIIa-c,VIIe-j,VIIIa-d,IXa;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8_A,27_8_B,27_8_C,27_8_D,27_9_A;;;;;;;
North Atlantic;Nursehound;Scyliorhinus stellaris;ICES;;No TAC;VI,VII;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K ;;;;;;;
