Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
LTU;LTU000000236;;CEN;2004-05-01;2100-12-31;327 N;327 N;327 N;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;8.40;0.00;4.12;0.00;0.00;0.00;0.00;1;1982-12-31;MFL;;;;1982-01-01
LTU;LTU000000246;;CEN;2004-05-01;2100-12-31;KL 2556;KL 2556;KL 2556;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;6.70;0.00;1.79;0.00;0.00;8.83;0.00;2;1989-12-29;MFL;;;;1989-01-01
LTU;LTU000000249;;MOD;2008-09-02;2100-12-31;KL 2058;KL 2058;KL 2058;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.65;0.00;1.00;0.00;0.00;22.00;0.00;3;1997-03-14;MFL;;;;1997-01-01
LTU;LTU000000257;;CEN;2004-05-01;2100-12-31;KL 1634;KL 1634;KL 1634;LTKLJ;;N;Y;N;N;N;;FX;GNS;GTR;;;;;5.00;0.00;1.23;0.00;0.00;7.36;0.00;3;1975-12-31;MFL;;;;1975-01-01
LTU;LTU000000264;;MOD;2020-03-23;2100-12-31;K 3268;K 3268;K 3268;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;6.40;0.00;0.72;0.00;0.00;0.00;15.00;3;1995-12-29;MFL;;;;1995-01-01
LTU;LTU000000267;;CEN;2004-05-01;2100-12-31;N 243;N 243;N 243;LTNID;;N;Y;N;N;N;;FX;GNS;FPO;;;;;8.00;0.00;1.18;0.00;0.00;18.40;0.00;1;1975-12-31;MFL;;;;1975-01-01
LTU;LTU000000271;;MOD;2018-12-31;2100-12-31;LT-P-869;LT-P-869;LT-P-869;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;7.90;0.00;1.16;0.00;0.00;7.36;0.00;1;2002-04-22;MFL;;;;2002-01-01
LTU;LTU000000276;;MOD;2015-10-20;2100-12-31;LT-P-529;LT-P-529;ARTVĖ;LTNID;;N;Y;N;N;N;;FX;GNS;LLS;;;;;11.20;0.00;17.10;0.00;0.00;27.30;0.00;2;1985-10-29;MFL;;;PA;1985-01-01
LTU;LTU000000280;;MOD;2014-05-26;2100-12-31;LT-P-714;LT-P-714;LT-P-714;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.65;0.00;0.77;0.00;0.00;7.20;0.00;2;1987-12-29;MFL;;;;1987-01-01
LTU;LTU000000281;;MOD;2015-10-20;2100-12-31;LT-2061;LT-2061;LT-2061;LTNID;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.80;0.00;1.29;0.00;0.00;53.00;0.00;2;1987-01-01;MFL;;;;1987-01-01
LTU;LTU000000282;;MOD;2015-10-20;2100-12-31;N-457;N-457;N-457;LTNID;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.00;0.00;0.37;0.00;0.00;7.30;0.00;2;1994-12-29;MFL;;;;1994-01-01
LTU;LTU000000288;;MOD;2016-05-11;2100-12-31;KL 1306;KL 1306;KL 1306;LTNID;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.65;0.00;0.75;0.00;0.00;10.00;0.00;2;1980-12-31;MFL;;;PA;1980-01-01
LTU;LTU000000289;;MOD;2017-06-13;2100-12-31;356 N;356 N;356 N;N;;N;Y;N;;;;FX;GNS;LLS;;;;;4.45;0.00;0.77;0.00;0.00;10.00;0.00;2;1977-12-30;MFL;;;;1977-01-01
LTU;LTU000000293;;CEN;2004-05-01;2100-12-31;KL 6147;KL 6147;KL 6147;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.65;0.00;1.00;0.00;0.00;25.00;0.00;1;1987-12-31;MFL;;;;1987-01-01
LTU;LTU000000297;;MOD;2004-07-13;2100-12-31;KL 6504;KL 6504;KL 6504;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.50;0.00;0.90;0.00;0.00;20.00;0.00;3;1995-12-29;MFL;;;;1995-01-01
LTU;LTU000000308;;MOD;2008-03-15;2100-12-31;N 726;N 726;N 726;LTNID;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.65;0.00;0.75;0.00;0.00;18.40;0.00;2;1979-12-31;MFL;;;;1979-01-01
LTU;LTU000000312;;MOD;2010-05-20;2100-12-31;N 397;N 397;N 397;LTNID;;N;Y;N;N;N;;FX;GNS;LLS;;;;;6.00;0.00;0.59;0.00;0.00;0.00;0.00;1;1979-12-31;MFL;;;PA;1979-01-01
LTU;LTU000000314;;MOD;2018-07-16;2100-12-31;LT-P-867;LT-P-867;LT-P-867;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.65;0.00;0.63;0.00;0.00;14.67;0.00;2;1970-12-31;MFL;;;PA;1970-01-01
LTU;LTU000000317;;MOD;2016-04-19;2100-12-31;LT-P-661;LT-P-661;LT-P-661;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;4.65;0.00;0.75;0.00;0.00;15.00;0.00;2;1978-12-31;MFL;;;PA;1978-01-01
LTU;LTU000000318;;CEN;2004-05-01;2100-12-31;KL 754;KL 754;KL 754;LTKLJ;;N;Y;N;N;N;;FX;GNS;NK;;;;;4.50;0.00;0.36;0.00;0.00;5.89;0.00;3;1984-12-31;MFL;;;;1984-01-01
LTU;LTU000000322;;MOD;2016-03-09;2100-12-31;KL 6668;KL 6668;KL 6668;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;5.75;0.00;1.26;0.00;0.00;37.34;0.00;2;1987-12-31;MFL;;;;1987-01-01
LTU;LTU000000329;;MOD;2009-12-23;2100-12-31;KL 7813;KL 7813;KL 7813;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;6.50;0.00;1.45;0.00;0.00;11.03;0.00;1;2006-12-29;MFL;;;;2006-01-01
LTU;LTU000000330;;MOD;2020-04-03;2100-12-31;KL-7956;KL 7956;KL 7956;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.20;0.00;1.02;0.00;0.00;22.13;0.00;3;2007-05-21;MFL;;;;1990-01-01
LTU;LTU000000331;;CHA;2007-08-17;2100-12-31;KL 7634;KL 7634;KL 7634;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.69;0.00;0.70;0.00;0.00;7.35;0.00;2;1981-12-31;MFL;;;;1981-01-01
LTU;LTU000000333;;MOD;2015-10-06;2100-12-31;N 2270;N 2270;PELA;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.00;0.00;0.32;0.00;0.00;3.60;0.00;3;1980-12-31;MFL;;;;1980-01-01
LTU;LTU000000339;;CHA;2019-10-23;2021-08-09;KL 7296;KL 7296;KL 7296;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.86;0.00;1.29;0.00;0.00;22.05;0.00;2;1977-12-31;MFL;;;;1977-01-01
LTU;LTU000000340;;CHA;2010-03-08;2100-12-31;KL 9009;KL 9009;KL 9009;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.95;0.00;2.19;0.00;0.00;5.10;0.00;3;2010-03-08;MFL;;;;1980-01-01
LTU;LTU000000342;;MOD;2015-11-12;2100-12-31;KL - 4443;KL - 4443;KL - 4443;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;3.80;0.00;0.50;0.00;0.00;14.72;0.00;2;2010-01-04;MFL;;;;1985-01-01
LTU;LTU000000344;;CHA;2010-06-19;2100-12-31;KL 8358;KL 8358;KL 8358;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;6.50;0.00;1.45;0.00;0.00;36.80;0.00;1;2007-11-26;MFL;;;;2007-01-01
LTU;LTU000000345;;CHA;2010-12-15;2100-12-31;KL 5016;KL 5016;KL 5016;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.75;0.00;1.34;0.00;0.00;36.00;0.00;2;1988-12-31;MFL;;;;1988-01-01
LTU;LTU000000346;;MOD;2017-05-23;2100-12-31;LT-P-533;KL-LT-P-533;LT-P-533;LTKLJ;;N;Y;N;N;N;;FX;LLS;GNS;;;;;7.95;7.28;3.45;0.00;0.00;15.00;0.00;3;1980-12-31;MFL;;;;1980-01-01
LTU;LTU000000347;;CHA;2012-03-02;2100-12-31;LT-P-535;LT-P-535;LT-P-535;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.00;0.00;1.00;0.00;0.00;44.10;0.00;3;2006-11-22;MFL;;;PA;1975-01-01
LTU;LTU000000348;;MOD;2016-03-09;2100-12-31;P-5325;P-5325;P-5325;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;4.25;0.00;0.52;0.00;0.00;3.06;0.00;2;1980-12-31;MFL;;;;1980-01-01
LTU;LTU000000351;;CHA;2012-06-28;2100-12-31;N-1799;N-1799;N-1799;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;5.75;0.00;1.41;0.00;0.00;20.00;0.00;2;1977-01-01;MFL;;;PA;1977-01-01
LTU;LTU000000352;;CHA;2013-06-18;2100-12-31;LT-P-643;LT-P-643;LT-P-643;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;4.50;0.00;0.42;0.00;0.00;36.00;0.00;;1986-01-01;MFL;;;PA;1986-01-01
LTU;LTU000000354;;CHA;2013-08-19;2100-12-31;LT-P-649;LT-P-649;MOLDOVA;LTKLJ;LY3044;Y;Y;Y;Y;Y;;FX;GNS;LLS;;;;;27.10;24.60;77.00;0.00;0.00;165.00;32.00;2;1979-01-01;MFL;;;PA;1978-01-01
LTU;LTU000000355;;CHA;2013-12-31;2022-02-08;KL-5607;KL-5607;KL-5607;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;5.75;0.00;0.68;0.00;0.00;40.00;0.00;2;1983-03-01;MFL;;;PA;1983-01-01
LTU;LTU000000356;8607218;IMP;2014-02-12;2021-12-19;870;KL 870;IEVA SIMONAITYTĖ;LTKLJ;LYAD;Y;Y;Y;Y;Y;277506000;FX;OTM;NK;;;;;120.00;108.12;7765.00;0.00;0.00;5296.00;1150.00;2;1989-03-22;MFL;RUS;;PA;1989-01-01
LTU;LTU000000357;8607220;IMP;2014-02-26;2100-12-31;872;KL 872;SIMONAS DAUKANTAS;LTKLJ;LYAH;Y;Y;Y;Y;Y;277510000;FX;OTM;NK;;;;;120.00;108.12;7765.00;0.00;0.00;5296.00;1150.00;2;1989-04-28;MFL;BLZ;;PA;1989-01-01
LTU;LTU000000364;;CST;2015-09-07;2100-12-31;LT-P-783;LT-P-783;LT-P-783;LTKLJ;;N;Y;Y;N;N;;FX;GNS;LLS;;;;;5.98;0.00;1.88;0.00;0.00;66.20;0.00;3;2015-09-07;MFL;;;PA;2014-01-01
LTU;LTU000000365;;MOD;2017-05-23;2100-12-31;LT-P-830;LT-P-830;LT-P-830;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.95;0.00;1.98;0.00;0.00;66.00;0.00;3;2015-09-24;MFL;;;PA;2015-01-01
LTU;LTU000000366;;MOD;2020-11-16;2100-12-31;LT-P-784;LT-P-784;LT-P-784;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;5.98;0.00;1.10;0.00;0.00;37.00;0.00;3;2015-09-12;MFL;;;PA;2015-01-01
LTU;LTU000000367;;CHA;2015-11-17;2100-12-31;LT - P - 621;LT - P - 621;LT - P - 621;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.75;0.00;0.66;0.00;0.00;12.00;0.00;2;1977-01-01;MFL;;;PA;1977-01-01
LTU;LTU000000368;;CHA;2015-11-18;2100-12-31;N - 386;N - 386;N - 386;LTNID;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.65;0.00;0.75;0.00;0.00;18.75;0.00;2;1975-01-01;MFL;;;PA;1975-01-01
LTU;LTU000000369;;CHA;2015-12-17;2100-12-31;LT- P - 641;LT - P - 641;LT - P - 641;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;3.50;0.00;0.40;0.00;0.00;0.00;0.00;1;1988-01-01;MFL;;;PA;1988-01-01
LTU;LTU000000370;;CHA;2015-12-17;2100-12-31;LT - P - 625;LT - P - 625;LT  - P - 625;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.20;0.00;0.55;0.00;0.00;10.00;0.00;2;1986-01-01;MFL;;;PA;1986-01-01
LTU;LTU000000371;;CHA;2016-04-18;2100-12-31;LT - P - 588;LT - P - 588;LT - P - 588;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;6.44;0.00;1.32;0.00;0.00;26.90;0.00;2;1980-01-01;MFL;;;PA;1980-01-01
LTU;LTU000000372;;MOD;2020-02-04;2021-06-02;LT - P - 841;LT - P - 841;DEIMA;LTKLJ;;N;Y;N;N;N;;FX;GNS;FIX;;;;;5.95;0.00;2.00;0.00;0.00;37.08;0.00;3;2016-07-04;MFL;;;PA;2016-01-01
LTU;LTU000000373;;MOD;2020-01-23;2100-12-31;LT-P-842;LT-P-842;LT-P-842;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;5.95;0.00;2.33;0.00;0.00;64.88;0.00;3;2016-07-27;MFL;;;PA;2016-01-01
