Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
NLD;NLD185002550;;MOD;2011-01-01;2100-12-31;NLD185002550;OD-25;ELIZABETH;OD;;N;Y;N;;;;FX;OTB;NO;;;;;8.70;0.00;3.00;0.00;0.00;51.00;0.00;2;1999-11-05;MFL;;;;1999-01-01
NLD;NLD185002560;;MOD;2014-04-28;2100-12-31;NLD185002560;IJM-311;RANGER;IJM;;N;Y;N;;;;FX;LHP;GNS;;;;;6.59;0.00;3.00;0.00;0.00;96.00;0.00;3;2000-01-19;MFL;;;;2000-01-01
NLD;NLD185002592;;MOD;2017-05-30;2100-12-31;NLD185002592;OD-24;NELLEKE;OD;;N;Y;N;N;N;;WOP;FPO;GTN;;;;;6.54;0.00;1.00;0.00;0.00;22.00;0.00;4;2000-07-12;MFL;;;;2000-01-01
NLD;NLD185013649;;CHA;2015-05-20;2100-12-31;NLD185013649;VL-105;ANNETTE J;VL;;N;Y;N;;;;FX;FPO;LHM;;;;;4.55;0.00;1.00;0.00;0.00;22.00;0.00;3;2015-05-20;MFL;;;;1850-01-01
NLD;NLD185013676;;CHA;2016-02-29;2100-12-31;NLD185013676;GO-3;VIOS;GO;PBOM;Y;Y;N;;;;FX;OTB;NO;;;;;8.54;0.00;2.00;0.00;0.00;31.00;0.00;2;2016-02-28;MFL;;;;1850-01-01
NLD;NLD189400201;;MOD;2005-01-01;2100-12-31;NLD189400201;WR-70;NEPTUNUS;WR;PD4608;Y;Y;Y;Y;N;;FX;OTB;PTM;;;;;25.32;0.00;61.00;0.00;0.00;124.00;0.00;2;1988-04-28;MFL;;;;1894-01-01
NLD;NLD189900729;;MOD;2015-10-01;2100-12-31;NLD189900729;LO-17;LIQUENDA;LO;PCFB;Y;Y;Y;Y;Y;244691000;MO;TBB;NO;;;;;22.04;0.00;48.00;0.00;0.00;221.00;0.00;2;1980-02-27;MFL;;;;1899-01-01
NLD;NLD189901069;;MOD;2003-11-06;2100-12-31;NLD189901069;WR-79;SPEKULANT;WR;PE4285;Y;Y;N;;;;FX;OTM;GNS;;;;;11.40;0.00;11.00;0.00;0.00;92.00;0.00;1;1990-06-25;MFL;;;;1899-01-01
NLD;NLD190002093;;MOD;2020-03-27;2100-12-31;NLD190002093;BRU-11;NOOIT GEDACHT;BRU;;N;Y;N;N;N;;FX;DRB;NO;;;;;23.32;0.00;47.00;0.00;0.00;176.00;0.00;2;1998-03-13;AQU;;;;1900-01-01
NLD;NLD190200723;;MOD;2005-06-17;2100-12-31;NLD190200723;YE-15;VIER GEBROEDERS;YE;PF9918;Y;Y;N;Y;N;;FX;DRB;NO;;;;;23.78;0.00;51.00;0.00;0.00;210.00;0.00;2;1981-12-04;AQU;;;PA;1902-01-01
NLD;NLD190300403;8571500;MOD;2006-07-19;2100-12-31;NLD190300403;TH-4;ELIZABETH;TH;PG4021;Y;Y;N;N;Y;246884000;FX;DRB;NO;;;;;29.70;0.00;101.00;0.00;0.00;440.00;93.00;2;1981-05-26;AQU;;;;1903-01-01
NLD;NLD190500203;8944604;MOD;2018-03-13;2100-12-31;NLD190500203;YE-270;JOHANNES;YE;PGBS;Y;Y;N;N;N;;FX;DRB;NO;;;;;33.31;0.00;156.00;0.00;0.00;537.00;0.00;2;1974-01-23;AQU;;;;1905-01-01
NLD;NLD190500461;;MOD;2015-12-18;2100-12-31;NLD190500461;HA-62;WILLEM TJITSCHE;HA;PF9943;Y;Y;Y;Y;Y;244610000;TU;TBB;NO;;;;;19.58;0.00;36.00;0.00;0.00;169.00;0.01;2;1980-07-17;MFL;;;;1905-01-01
NLD;NLD190801142;;MOD;2013-04-01;2100-12-31;NLD190801142;BRU-45;JACOBA;BRU;;N;Y;Y;;;;FX;DRB;NO;;;;;23.88;0.00;45.00;0.00;0.00;132.00;0.00;2;1991-01-21;AQU;;;;1908-01-01
NLD;NLD190802113;;MOD;2017-07-31;2100-12-31;NLD190802113;WON-17;CHARLOTTE;WON;PE4434;Y;Y;Y;Y;Y;245071000;TU;TBB;NO;;;;;24.25;0.00;43.00;0.00;0.00;221.00;65.00;2;1998-06-12;MFL;;;;1908-01-01
NLD;NLD190900074;;MOD;2015-12-14;2021-01-10;NLD190900074;WL-8;LUBBERT SR;WL;PBAM;Y;Y;Y;Y;Y;244991000;TU;TBB;NO;;;;;23.92;0.00;86.00;0.00;0.00;221.00;105.00;2;1977-11-18;MFL;;;;1909-01-01
NLD;NLD190900810;8571160;MOD;2015-06-30;2100-12-31;NLD190900810;YE-39;DRIE GEBROEDERS;YE;PF4008;Y;Y;N;N;N;;FX;DRB;NO;;;;;32.93;0.00;133.00;0.00;0.00;415.00;290.00;2;1967-04-13;AQU;;;;1909-01-01
NLD;NLD190900846;;MOD;2020-04-24;2022-02-02;NLD190900846;YE-145;ELISABETH;NLYSK;PE3344;Y;Y;N;N;N;;FX;DRB;DRH;;;;;28.42;0.00;63.00;0.00;0.00;257.00;0.00;2;1980-03-05;AQU;;;;1909-01-01
NLD;NLD190901051;8571421;MOD;2013-01-24;2021-02-23;NLD190901051;YE-140;DEI-GRATIA;YE;PC6607;Y;Y;N;N;N;;DB;DRB;NO;;;;;31.67;0.00;115.00;0.00;0.00;403.00;180.00;2;2012-05-11;AQU;;;;1909-01-01
NLD;NLD190901995;;CHA;2007-08-06;2100-12-31;NLD190901995;UK-29;JAN;UK;;N;Y;N;N;N;;MSN;PS;NO;;;;;6.50;0.00;1.00;0.00;0.00;7.00;0.00;2;2007-08-06;MFL;;;;1909-01-01
NLD;NLD191000315;;MOD;2011-01-01;2100-12-31;NLD191000315;OL-37;INSULINDE;OL;PH3084;Y;Y;Y;;;;FX;TBB;NO;;;;;20.54;0.00;42.00;0.00;0.00;220.00;0.01;2;1975-09-30;MFL;;;;1910-01-01
NLD;NLD191000444;;MOD;2011-01-01;2100-12-31;NLD191000444;WL-25;ANTJE;WL;PG2397;Y;Y;Y;;;;FX;TBB;OTB;;;;;19.80;0.00;30.00;0.00;0.00;162.00;0.00;2;1979-04-20;MFL;;;;1910-01-01
NLD;NLD191072027;;CHA;2019-05-03;2100-12-31;NLD191072027;UQ-4;VERANDERING;UQ;PI 5485;Y;Y;Y;Y;Y;244750312;WO;FPO;LLD;;;;;19.85;0.00;28.00;0.00;0.00;51.00;0.00;2;2019-05-03;MFL;;;;1910-01-01
NLD;NLD191100591;;MOD;2006-09-27;2100-12-31;NLD191100591;UQ-21;LOUWINA;UQ;;N;Y;Y;Y;N;;FX;TBB;SPR;;;;;23.99;0.00;51.00;0.00;0.00;221.00;40.00;2;1981-02-09;MFL;;;;1911-01-01
NLD;NLD191200520;8570568;MOD;2005-01-01;2100-12-31;NLD191200520;YE-89;MAATJE CATHARINA;YE;PF9971;Y;Y;N;N;N;;FX;DRB;NO;;;;;32.47;0.00;109.00;0.00;0.00;257.00;103.00;2;1980-08-06;AQU;;;;1912-01-01
NLD;NLD191400696;8571316;MOD;2019-03-12;2100-12-31;NLD191400696;BRU-39;LUCTOR;BRU;PD4012;Y;Y;N;N;N;244850157;DB;DRB;FPO;;;;;30.68;0.00;116.00;0.00;0.00;358.00;0.00;2;1981-07-20;AQU;;;;1914-01-01
NLD;NLD191401019;;CHA;2018-03-16;2100-12-31;NLD191401019;ZK-9;ANTONIA;ZK;PA-6790;Y;Y;Y;Y;N;;FX;OTM;NO;;;;;18.37;0.00;18.00;0.00;0.00;97.00;0.00;2;1980-11-13;MFL;;;;1914-01-01
NLD;NLD191500109;8985086;MOD;2006-06-23;2100-12-31;NLD191500109;BRU-50;WISSELVALLIGHEID;BRU;PCIA;Y;Y;N;N;N;;FX;DRB;NO;;;;;33.77;0.00;155.00;0.00;0.00;403.00;227.00;;1979-12-18;AQU;;;;1915-01-01
NLD;NLD191700258;;MOD;2017-05-30;2100-12-31;NLD191700258;OD-2;NEELTJE;OD;;N;Y;Y;Y;Y;246097000;TU;TBB;FPO;;;;;22.21;0.00;34.00;0.00;0.00;113.00;0.00;2;1989-04-05;MFL;;;;1917-01-01
NLD;NLD191800434;;MOD;2018-12-11;2021-03-04;NLD191800434;YE-185;JACOBUS;YE;PH6546;Y;Y;Y;N;Y;246313000;WOP;FPO;GNS;;;;;16.57;0.00;19.00;0.00;0.00;88.00;0.00;2;1964-10-09;MFL;;;;1918-01-01
NLD;NLD192100234;;MOD;2015-12-17;2100-12-31;NLD192100234;LO-14;FETSKE;LO;PH9712;Y;Y;Y;Y;Y;245856000;TU;TBB;NO;;;;;21.61;0.00;35.00;0.00;0.00;127.00;0.00;2;1981-12-10;MFL;;;;1921-01-01
NLD;NLD192100347;;MOD;2019-08-05;2100-12-31;NLD192100347;TM-19;REIDERLAND;TM;PCXO;Y;Y;Y;Y;Y;244830394;MO;TBB;NO;;;;;23.02;0.00;34.00;0.00;0.00;221.00;0.00;2;1979-06-14;MFL;;;;1921-01-01
NLD;NLD192200030;8985098;MOD;2003-01-01;2100-12-31;NLD192200030;BRU-5;DANKBAARHEID;BRU;PBAE;Y;Y;N;N;N;;FX;DRB;NO;;;;;35.32;0.00;162.00;0.00;0.00;403.00;0.00;2;1977-06-27;AQU;;;;1922-01-01
NLD;NLD192200717;8570647;MOD;2005-01-01;2100-12-31;NLD192200717;YE-46;JANNY;YE;PE7290;Y;Y;N;N;N;;FX;DRB;NO;;;;;36.67;0.00;163.00;0.00;0.00;537.00;307.00;2;1981-11-19;AQU;;;;1922-01-01
NLD;NLD192200968;;MOD;2003-12-12;2100-12-31;NLD192200968;BRU-65;CHRISTIAAN;BRU;PD3484;Y;Y;N;;;;FX;DRB;NO;;;;;25.39;0.00;73.00;0.00;0.00;121.00;0.00;2;1981-10-22;AQU;;;;1922-01-01
NLD;NLD192201834;;MOD;2003-01-01;2100-12-31;NLD192201834;YE-49;DENNIS;YE;PE5322;Y;Y;N;;;;FX;DRB;NO;;;;;26.25;0.00;76.00;0.00;0.00;200.00;90.00;2;1993-11-09;AQU;;;;1922-01-01
NLD;NLD192300077;8822844;MOD;2003-12-08;2100-12-31;NLD192300077;ZZ-6;NOOIT GEDACHT;ZZ;PD9919;Y;Y;N;N;N;;FX;DRB;NO;;;;;33.78;0.00;130.00;0.00;0.00;447.00;0.00;2;1976-05-17;AQU;;;;1923-01-01
