Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction,
PRT;PRT000004139;;MOD;2006-01-01;2100-12-31;SB-178-L;SB-178-L;SANTA LUZIA;SB;;N;N;N;;;;FX;LLS;NO;;;;;3.32;0.00;0.26;0.47;0.00;0.00;0.00;1;1975-04-22;MFL;;;PA;1975-01-01,
PRT;PRT000004140;;MOD;2006-01-01;2100-12-31;SB-17-L;SB-17-L;VOZ DE DEUS;SB;;N;N;N;;;;FX;GNS;NO;;;;;3.07;0.00;0.24;0.44;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004142;;MOD;2006-01-01;2100-12-31;SB-163-L;SB-163-L;TRES NETOS;SB;;N;N;N;;;;FX;GNS;NO;;;;;3.76;0.00;0.44;0.86;0.00;0.00;0.00;1;1965-12-31;MFL;;;PA;1965-01-01,
PRT;PRT000004145;;MOD;2018-01-01;2100-12-31;SB-159-C;SB-159-C;TRES CASTELOS;SB;CULF7;Y;Y;N;N;Y;263432590;MOX;GTR;FPO;;;;;9.40;8.50;6.21;6.91;0.00;44.13;0.00;1;1966-01-01;MFL;;;PA;1966-01-01,
PRT;PRT000004146;;MOD;2017-01-18;2100-12-31;SB-146-L;SB-146-L;BEM HAJA;SB;;N;N;N;;;;FX;LHP;LLS;;;;;3.20;0.00;0.25;0.52;0.00;0.00;0.00;1;1964-12-31;MFL;;;PA;1964-01-01,
PRT;PRT000004148;;MOD;2016-06-16;2100-12-31;SB-150-L;SB-150-L;NETO;SB;;N;Y;N;;;;FX;LHP;LLS;;;;;3.20;0.00;0.26;0.52;0.00;4.40;2.20;1;1974-12-31;MFL;;;PA;1974-01-01,
PRT;PRT000004151;;MOD;2020-01-01;2100-12-31;SB-130-L;SB-130-L;VENUS;SB;;N;Y;N;N;N;;MOX;LHP;NO;;;;;3.05;0.00;0.23;0.39;0.00;1.80;0.00;1;1975-05-07;MFL;;;PA;1975-01-01,
PRT;PRT000004152;;MOD;2006-01-01;2100-12-31;SB-121-L;SB-121-L;ROBALINHO;SB;;N;N;N;;;;FX;GNS;NO;;;;;4.20;0.00;0.51;0.95;0.00;3.00;0.00;1;1985-12-31;MFL;;;PA;1985-01-01,
PRT;PRT000004157;;MOD;2006-01-01;2100-12-31;SB-1043-L;SB-1043-L;TETE;SB;CQKB8;Y;N;N;;;;FX;GNS;LLS;;;;;8.02;0.00;3.61;4.43;0.00;33.00;0.00;1;1955-01-01;MFL;;;PA;1955-01-01,
PRT;PRT000004162;;MOD;2006-01-01;2100-12-31;SB-104-L;SB-104-L;PAULO E ZE;SB;;N;N;N;;;;FX;GNS;NO;;;;;3.00;0.00;0.23;0.44;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004168;;MOD;2006-01-01;2100-12-31;SB-10-L;SB-10-L;VEZA;SB;;N;N;N;;;;FX;LHP;LLS;;;;;3.26;0.00;0.28;0.50;0.00;3.00;0.00;1;1970-12-31;MFL;;;PA;1970-01-01,
PRT;PRT000004174;;MOD;2006-01-01;2100-12-31;SA-51-L;SA-51-L;VAMOS OS DOIS;SA;;N;N;N;;;;FX;GNS;NO;;;;;3.82;0.00;0.42;0.80;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004176;;MOD;2014-02-28;2100-12-31;SA-421-C;SA-421-C;SALETE;SA;CQNA5;Y;Y;N;;;;FX;GTR;LLS;;;;;11.35;9.97;8.00;8.84;0.00;44.70;0.00;1;1961-01-01;MFL;;;PA;1961-01-01,
PRT;PRT000004181;;MOD;2006-01-01;2100-12-31;SA-41-L;SA-41-L;ZEZINHO;SA;;N;N;N;;;;FX;GNS;NO;;;;;3.25;0.00;0.32;0.41;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004193;;MOD;2012-04-11;2100-12-31;SN-682-L;SN-682-L;TA BESUGO;SN;CUMI3;Y;Y;N;;;;FX;LHP;NO;;;;;5.45;0.00;0.94;1.31;0.00;18.27;0.00;1;1952-01-01;MFL;;;PA;1952-01-01,
PRT;PRT000004194;;MOD;2019-08-09;2100-12-31;SA-362-L;SA-362-L;SOFIA;SA;;N;Y;N;N;N;;MOX;LHP;NO;;;;;4.50;0.00;0.37;0.75;0.00;18.40;0.00;1;1982-03-16;MFL;;;PA;1982-01-01,
PRT;PRT000004197;;MOD;2006-01-01;2100-12-31;V-544-L;V-544-L;PRIMEIRO A SORTE;V;;N;N;N;;;;FX;FPO;NO;;;;;5.40;0.00;0.81;1.23;0.00;18.00;0.00;1;1976-01-01;MFL;;;PA;1976-01-01,
PRT;PRT000004212;;MOD;2008-03-10;2100-12-31;SA-324-L;SA-324-L;NUNO MIGUEL;SA;;N;N;N;;;;FX;FPO;LLS;;;;;4.30;0.00;0.88;0.88;0.00;0.00;0.00;1;1988-10-03;MFL;;;PA;1988-01-01,
PRT;PRT000004228;;MOD;2006-01-01;2100-12-31;SA-255-L;SA-255-L;SOL NASCENTE;SA;;N;N;N;;;;FX;GNS;NO;;;;;4.35;0.00;0.61;1.13;0.00;7.00;0.00;1;1943-01-01;MFL;;;PA;1943-01-01,
PRT;PRT000004232;;MOD;2006-01-01;2100-12-31;SA-23-L;SA-23-L;SERGIO E NUNO;SA;;N;N;N;;;;FX;LLS;NO;;;;;3.61;0.00;0.38;0.63;0.00;0.00;0.00;1;1954-01-01;MFL;;;PA;1954-01-01,
PRT;PRT000004254;;MOD;2017-11-24;2100-12-31;SA-166-L;SA-166-L;NINFA;SA;;N;N;N;;;;FX;LLS;FPO;;;;;4.10;0.00;0.53;0.94;0.00;6.00;0.00;1;1964-01-01;MFL;;;PA;1964-01-01,
PRT;PRT000004267;;MOD;2006-01-01;2100-12-31;SA-124-L;SA-124-L;NOSSA SENHORA DAS ONDAS;SA;;N;N;N;;;;FX;GNS;NO;;;;;3.91;0.00;0.41;0.67;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004269;;MOD;2006-01-01;2100-12-31;SA-112-L;SA-112-L;ROSA DO OCEANO;SA;;N;N;N;;;;FX;LLS;NO;;;;;3.97;0.00;0.40;0.53;0.00;6.00;0.00;1;1965-12-31;MFL;;;PA;1965-01-01,
PRT;PRT000004272;;MOD;2006-01-01;2100-12-31;S-991-L;S-991-L;SAO CAETANO;S;;N;N;N;;;;FX;LLS;NO;;;;;3.37;0.00;0.27;0.48;0.00;3.00;0.00;1;1967-07-29;MFL;;;PA;1967-01-01,
PRT;PRT000004275;;MOD;2016-11-07;2100-12-31;S-956-L;S-956-L;NACA;S;;N;N;N;;;;FX;GNS;NO;;;;;6.70;0.00;1.07;1.87;0.00;0.00;0.00;1;1971-01-01;MFL;;;PA;1971-01-01,
PRT;PRT000004277;;MOD;2019-03-18;2100-12-31;S-920-L;S-920-L;JOÃO E ELSA;S;CULH6;Y;Y;N;N;Y;263403860;MOX;GTR;NO;;;;;9.20;0.00;3.98;4.65;0.00;32.00;0.00;1;1989-11-09;MFL;;;PA;1960-01-01,
PRT;PRT000004278;;MOD;2015-10-05;2100-12-31;SB-1297-C;SB-1297-C;RUI MATEUS;SB;CULF5;Y;N;N;;;;FX;GTR;NO;;;;;9.10;0.00;4.06;5.32;0.00;34.68;0.00;1;1957-12-31;MFL;;;PA;1957-01-01,
PRT;PRT000004282;;MOD;2012-02-28;2100-12-31;S-923-L;S-923-L;NAO E PRECISO;S;;N;Y;N;;;;FX;GTR;FPO;;;;;7.15;0.00;1.35;0.00;0.00;18.40;0.00;1;1970-01-01;MFL;;;PA;1970-01-01,
PRT;PRT000004283;;MOD;2006-01-01;2100-12-31;S-906-L;S-906-L;OLIVIA CASSIANA;S;;N;N;N;;;;FX;GNS;NO;;;;;7.00;0.00;1.17;2.01;0.00;6.00;0.00;1;1972-01-01;MFL;;;PA;1972-01-01,
PRT;PRT000004285;;MOD;2006-01-01;2100-12-31;S-887-L;S-887-L;PRIMEIRO DE MAIO;S;;N;N;N;;;;FX;GNS;NO;;;;;8.38;0.00;1.15;2.03;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004288;;MOD;2006-01-01;2100-12-31;S-857-L;S-857-L;MARIA BERNARDETE;S;;N;N;N;;;;FX;GNS;NO;;;;;6.70;0.00;0.97;1.70;0.00;0.00;0.00;1;1959-01-01;MFL;;;PA;1959-01-01,
PRT;PRT000004290;;MOD;2019-07-02;2100-12-31;AL-590-L;AL-590-L;TI MILA;AL;;N;Y;N;N;Y;263431390;MOX;GNS;GTR;;;;;7.45;0.00;2.26;3.26;0.00;29.82;0.00;1;1976-04-13;MFL;;;PA;1976-01-01,
PRT;PRT000004291;;MOD;2006-01-01;2100-12-31;S-861-L;S-861-L;OLIMPIA MARIA;S;;N;N;N;;;;FX;GNS;NO;;;;;4.55;0.00;0.22;0.49;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004293;;MOD;2006-01-01;2100-12-31;S-863-L;S-863-L;SENHORA DAS NECESSIDADES;S;;N;N;N;;;;FX;GNS;NO;;;;;8.40;0.00;1.51;2.71;0.00;0.00;0.00;1;1968-01-01;MFL;;;PA;1968-01-01,
PRT;PRT000004295;;MOD;2006-01-01;2100-12-31;S-81-C;S-81-C;TATAI;S;;N;N;N;;;;FX;GNS;NO;;;;;8.45;0.00;4.15;5.15;0.00;62.00;0.00;1;1958-01-01;MFL;;;PA;1958-01-01,
PRT;PRT000004296;;MOD;2019-09-09;2100-12-31;S-848-L;S-848-L;TEREZA;S;;N;Y;N;N;N;;MOX;GTR;LHP;;;;;3.18;0.00;0.25;0.46;0.00;2.90;0.00;1;1988-04-06;MFL;;;PA;1988-01-01,
PRT;PRT000004297;;MOD;2006-01-01;2100-12-31;S-858-L;S-858-L;OTELINDA;S;;N;N;N;;;;FX;GNS;NO;;;;;6.50;0.00;0.73;1.44;0.00;4.00;0.00;1;1962-01-01;MFL;;;PA;1962-01-01,
PRT;PRT000004298;;MOD;2019-08-20;2100-12-31;S-784-L;S-784-L;PRAZERES MARIA;S;;N;Y;N;N;Y;263433550;MOX;GTR;LHP;;;;;6.64;0.00;2.29;3.07;0.00;24.64;0.00;1;1957-01-01;MFL;;;PA;1957-01-01,
PRT;PRT000004305;;MOD;2006-01-01;2100-12-31;S-774-L;S-774-L;ROSA DO NASCIMENTO;S;;N;N;N;;;;FX;GNS;NO;;;;;3.55;0.00;0.34;0.61;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004306;;MOD;2006-01-01;2100-12-31;S-756-L;S-756-L;MARIA DO CEU;S;;N;N;N;;;;FX;GNS;NO;;;;;8.00;0.00;1.46;2.67;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004309;;MOD;2006-01-01;2100-12-31;S-733-L;S-733-L;TRES SILVAS;S;;N;N;N;;;;FX;GNS;NO;;;;;3.00;0.00;0.22;0.42;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004310;;MOD;2016-05-23;2100-12-31;S-724-L;S-724-L;ROMPER DA AURORA;S;;N;Y;N;;;;FX;GTR;LHP;;;;;5.83;0.00;1.23;1.99;0.00;11.00;11.00;1;1960-01-01;MFL;;;PA;1960-01-01,
PRT;PRT000004312;;MOD;2006-01-01;2100-12-31;S-712-L;S-712-L;MARCELINA ROSA;S;;N;N;N;;;;FX;GNS;NO;;;;;8.00;0.00;1.12;1.87;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004313;;MOD;2006-01-01;2100-12-31;S-734-L;S-734-L;MARATECA SADO;S;;N;N;N;;;;FX;GNS;NO;;;;;8.00;0.00;1.44;2.64;0.00;6.00;0.00;1;1960-01-01;MFL;;;PA;1960-01-01,
PRT;PRT000004315;;MOD;2006-01-01;2100-12-31;S-691-L;S-691-L;VADIO;S;;N;N;N;;;;FX;GNS;NO;;;;;3.55;0.00;0.33;0.78;0.00;3.00;0.00;1;1954-01-01;MFL;;;PA;1954-01-01,
PRT;PRT000004316;;MOD;2008-09-29;2100-12-31;S-714-L;S-714-L;PAJO;S;;N;Y;N;;;;FX;GNS;GTR;;;;;8.84;0.00;2.82;3.89;0.00;44.74;0.00;1;1944-01-01;MFL;;;PA;1944-01-01,
PRT;PRT000004317;;MOD;2006-01-01;2100-12-31;S-654-L;S-654-L;QUATRO MARIAS PRIMEIRA;S;;N;N;N;;;;FX;GNS;NO;;;;;4.75;0.00;0.63;1.21;0.00;0.00;0.00;1;1987-09-22;MFL;;;PA;1987-01-01,
PRT;PRT000004318;;MOD;2006-01-01;2100-12-31;S-70-L;S-70-L;NATALIA DOS SANTOS;S;;N;N;N;;;;FX;GTR;NO;;;;;7.00;0.00;1.17;2.01;0.00;6.00;0.00;1;1972-01-01;MFL;;;PA;1972-01-01,
PRT;PRT000004324;;MOD;2018-01-01;2021-02-08;S-652-L;S-652-L;RUI SILVA;S;;N;Y;N;N;N;;MOX;GTR;FPO;;;;;8.10;0.00;1.23;2.50;0.00;11.00;0.00;1;1967-01-01;MFL;;;PA;1967-01-01,
PRT;PRT000004326;;MOD;2018-01-01;2100-12-31;N-2601-L;N-2601-L;SEMPRE COM DEUS;N;;N;N;N;;;;FX;GTR;LHP;;;;;7.62;0.00;2.45;3.02;0.00;18.39;0.00;1;1949-01-01;MFL;;;PA;1949-01-01,
PRT;PRT000004327;;MOD;2006-01-01;2100-12-31;S-609-L;S-609-L;SANTA CECILIA;S;;N;N;N;;;;FX;GNS;NO;;;;;3.75;0.00;0.39;0.71;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004331;;MOD;2006-01-01;2100-12-31;S-585-C;S-585-C;NATIVIDADE MARIA;S;;N;N;N;;;;FX;GNS;NO;;;;;6.56;0.00;2.11;2.86;0.00;9.00;0.00;1;1970-07-06;MFL;;;PA;1970-01-01,
PRT;PRT000004332;;MOD;2006-01-01;2100-12-31;S-558-L;S-558-L;SAO MARTINHO;S;;N;N;N;;;;FX;GNS;NO;;;;;7.50;0.00;1.46;2.10;0.00;0.00;0.00;1;1944-01-01;MFL;;;PA;1944-01-01,
PRT;PRT000004335;;MOD;2006-01-01;2100-12-31;S-572-L;S-572-L;VIANA GLORIA;S;;N;N;N;;;;FX;GNS;NO;;;;;3.41;0.00;0.27;0.55;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004339;;MOD;2006-01-01;2100-12-31;S-534-L;S-534-L;NATALIA;S;;N;N;N;;;;FX;GNS;NO;;;;;8.00;0.00;1.35;2.48;0.00;0.00;0.00;1;1959-01-01;MFL;;;PA;1959-01-01,
PRT;PRT000004340;;MOD;2019-01-23;2100-12-31;S-540-L;S-540-L;NOVA ROSINHA;S;;N;Y;N;N;N;;MOX;GTR;LHP;;;;;7.60;0.00;2.10;0.00;0.00;22.06;22.10;1;1963-01-01;MFL;;;PA;1963-01-01,
PRT;PRT000004341;;MOD;2006-01-01;2100-12-31;S-542-L;S-542-L;SENHORA DA PIEDADE;S;;N;N;N;;;;FX;GNS;NO;;;;;4.20;0.00;0.43;0.87;0.00;0.00;0.00;1;1931-01-01;MFL;;;PA;1931-01-01,
PRT;PRT000004342;;MOD;2018-10-25;2021-08-15;S-510-L;S-510-L;SEMPRE SE VIU;S;;N;Y;N;N;N;;MOX;GTR;LHP;;;;;7.25;0.00;1.56;2.27;0.00;29.40;0.00;1;1970-01-01;MFL;;;PA;1970-01-01,
PRT;PRT000004344;;MOD;2014-08-07;2100-12-31;S-51-L;S-51-L;SANTA DA MINHA TERRA;S;;N;N;N;;;;FX;GNS;NO;;;;;9.42;0.00;3.17;3.53;0.00;10.00;0.00;1;1965-01-01;MFL;;;PA;1965-01-01,
PRT;PRT000004345;;MOD;2006-01-01;2100-12-31;S-493-C;S-493-C;ROSA ANTONIA;S;;N;N;N;;;;FX;GNS;NO;;;;;8.00;0.00;1.34;2.35;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004347;;MOD;2006-01-01;2100-12-31;S-525-L;S-525-L;MARIA DUARTE;S;;N;N;N;;;;FX;GNS;NO;;;;;7.80;0.00;1.19;2.21;0.00;0.00;0.00;1;1968-01-01;MFL;;;PA;1968-01-01,
PRT;PRT000004352;;MOD;2006-01-01;2100-12-31;S-486-L;S-486-L;PAULA CRISTINA;S;;N;N;N;;;;FX;GNS;NO;;;;;3.45;0.00;0.33;0.75;0.00;0.00;0.00;1;1967-01-01;MFL;;;PA;1967-01-01,
PRT;PRT000004353;;MOD;2006-01-01;2100-12-31;S-470-L;S-470-L;MARIA AMELIA;S;;N;N;N;;;;FX;GNS;NO;;;;;8.00;0.00;1.40;2.40;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004357;;MOD;2006-01-01;2100-12-31;S-476-L;S-476-L;MARIA CAROLINA;S;;N;N;N;;;;FX;GTR;NO;;;;;5.60;0.00;0.58;1.19;0.00;2.00;0.00;1;1964-01-01;MFL;;;PA;1964-01-01,
PRT;PRT000004358;;MOD;2006-01-01;2100-12-31;S-465-C;S-465-C;MARIA MIRANDA;S;;N;N;N;;;;FX;GNS;NO;;;;;8.05;0.00;0.81;2.53;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004360;;MOD;2016-07-26;2100-12-31;S-468-L;S-468-L;TRES RAPAZES;S;;N;N;N;;;;FX;GNS;NO;;;;;6.57;0.00;2.15;3.00;0.00;18.00;0.00;1;1954-01-01;MFL;;;PA;1954-01-01,
PRT;PRT000004361;;MOD;2019-09-30;2021-07-25;SN-929-L;SN-929-L;PAI CABANAS;SN;CUKV3;Y;Y;N;N;N;;MOX;GNS;FPO;;;;;8.98;0.00;6.07;0.00;0.00;74.00;0.00;1;1958-01-03;MFL;;;PA;1958-01-01,
PRT;PRT000004372;;MOD;2018-08-08;2021-04-26;S-366-L;S-366-L;SOL POENTE;S;;N;Y;N;N;N;;MOX;LHP;LLS;;;;;3.43;0.00;0.33;0.68;0.00;4.40;0.00;1;1967-11-10;MFL;;;PA;1967-01-01,
PRT;PRT000004373;;MOD;2006-01-01;2100-12-31;S-381-L;S-381-L;SANTO ANTONINHO;S;;N;N;N;;;;FX;GNS;NO;;;;;8.00;0.00;1.58;2.88;0.00;0.00;0.00;1;1964-01-01;MFL;;;PA;1964-01-01,
PRT;PRT000004375;;MOD;2006-01-01;2100-12-31;S-339-L;S-339-L;SILVANDRINA;S;;N;N;N;;;;FX;GNS;NO;;;;;6.00;0.00;0.56;1.14;0.00;0.00;0.00;1;1960-01-01;MFL;;;PA;1960-01-01,
PRT;PRT000004377;;MOD;2006-01-01;2100-12-31;S-315-L;S-315-L;SEBASTIANA;S;;N;N;N;;;;FX;GNS;NO;;;;;7.00;0.00;1.04;1.80;0.00;0.00;0.00;1;1944-01-01;MFL;;;PA;1944-01-01,
PRT;PRT000004381;;MOD;2006-01-01;2100-12-31;S-294-L;S-294-L;TUNICA;S;;N;N;N;;;;FX;GNS;NO;;;;;4.82;0.00;0.70;1.34;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004385;;MOD;2020-08-03;2021-11-18;S-275-L;S-275-L;RAINHA DO MAR;S;;N;Y;N;N;N;;MOX;GNS;GTR;;;;;8.35;0.00;2.96;4.20;0.00;26.10;0.00;1;1962-01-01;MFL;;;PA;1962-01-01,
PRT;PRT000004387;;MOD;2020-04-20;2100-12-31;S-267-L;S-267-L;VIRGEM BOA;S;CUKH8;Y;Y;N;N;Y;263424560;MOX;GNS;GTR;;;;;8.90;0.00;5.44;4.54;0.00;53.69;0.00;1;1953-01-01;MFL;;;PA;1953-01-01,
PRT;PRT000004389;;MOD;2006-01-01;2100-12-31;S-277-L;S-277-L;SILVINO;S;;N;N;N;;;;FX;GNS;NO;;;;;5.23;0.00;0.37;0.79;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004404;;MOD;2006-01-01;2100-12-31;S-214-C;S-214-C;NOVA EFIGENIA;S;;N;N;N;;;;FX;GNS;NO;;;;;8.57;0.00;4.19;5.36;0.00;26.00;0.00;1;1965-01-01;MFL;;;PA;1965-01-01,
PRT;PRT000004405;;MOD;2006-01-01;2021-05-27;S-1939-L;S-1939-L;MARIA CRISTINA;S;;N;N;N;;;;MOX;LLS;NO;;;;;3.07;0.00;0.24;0.48;0.00;0.00;0.00;1;1987-01-28;MFL;;;PA;1987-01-01,
PRT;PRT000004411;;MOD;2006-01-01;2100-12-31;S-1936-L;S-1936-L;OLA;S;;N;N;N;;;;FX;GTR;NO;;;;;4.30;0.00;0.24;0.49;0.00;0.00;0.00;1;1983-09-27;MFL;;;PA;1983-01-01,
PRT;PRT000004412;;MOD;2016-05-09;2100-12-31;S-1925-L;S-1925-L;PRAIAMAR;S;CULI4;Y;Y;N;;;;FX;GTR;LHP;;;;;8.21;0.00;4.53;4.14;0.00;29.42;0.00;1;1985-12-23;MFL;;;PA;1985-01-01,
PRT;PRT000004413;;MOD;2006-01-01;2100-12-31;S-1920-L;S-1920-L;NAO GOZES;S;;N;N;N;;;;FX;LLS;NO;;;;;5.25;0.00;1.04;1.63;0.00;11.00;0.00;1;1976-01-01;MFL;;;PA;1976-01-01,
PRT;PRT000004418;;MOD;2019-09-12;2021-11-21;Q-1181-C;Q-1181-C;REGRESSO;Q;CQLF6;Y;Y;N;N;Y;263407780;MOX;GNS;GTR;;;;;9.05;0.00;3.78;4.64;0.00;66.90;0.00;1;1969-01-01;MFL;;;PA;1961-01-01,
PRT;PRT000004424;;MOD;2006-01-01;2100-12-31;S-1870-C;S-1870-C;ZE BRASILEIRO;S;;N;N;N;;;;FX;LLS;GNS;;;;;9.08;0.00;4.97;6.37;0.00;26.00;0.00;1;1969-01-01;MFL;;;PA;1969-01-01,
PRT;PRT000004426;;MOD;2021-01-01;2021-07-25;SN-909-L;SN-909-L;VAI COM FÉ;SN;CUKZ8;Y;Y;N;N;Y;263424690;MOX;GNS;GTR;;;;;8.76;0.00;3.60;4.74;0.00;32.00;0.00;1;1981-01-01;MFL;;;PA;1981-01-01,
PRT;PRT000004427;;MOD;2019-08-09;2100-12-31;S-1872-L;S-1872-L;VIRGEM MEDIANEIRA;S;CULM5;Y;Y;N;N;Y;263431460;MOX;GNS;GTR;;;;;7.75;0.00;4.14;5.10;0.00;44.13;0.00;1;1966-01-01;MFL;;;PA;1966-01-01,
PRT;PRT000004429;;MOD;2006-01-01;2100-12-31;S-1868-L;S-1868-L;PRINCIPE;S;;N;N;N;;;;FX;LLS;GNS;;;;;7.26;0.00;2.39;3.92;0.00;12.00;0.00;1;1976-01-01;MFL;;;PA;1976-01-01,
PRT;PRT000004431;;MOD;2006-01-01;2100-12-31;S-1867-L;S-1867-L;XEPA;S;;N;N;N;;;;FX;GTR;NO;;;;;5.30;0.00;0.49;0.91;0.00;3.00;0.00;1;1981-06-01;MFL;;;PA;1981-01-01,
PRT;PRT000004432;;MOD;2006-01-01;2100-12-31;S-1851-L;S-1851-L;OITO NETOS;S;;N;N;N;;;;FX;GNS;NO;;;;;6.60;0.00;0.91;1.55;0.00;6.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004433;;MOD;2006-01-01;2100-12-31;S-1847-L;S-1847-L;OS PEQUENINOS;S;;N;N;N;;;;FX;GNS;NO;;;;;6.22;0.00;0.70;1.20;0.00;4.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004434;;MOD;2006-01-01;2100-12-31;S-1850-L;S-1850-L;ROSALINA ALBERTO;S;;N;N;N;;;;FX;GNS;NO;;;;;7.00;0.00;1.16;1.99;0.00;7.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004436;;MOD;2006-01-01;2100-12-31;S-186-L;S-186-L;NOVA ESTRELA;S;;N;N;N;;;;FX;GNS;NO;;;;;3.26;0.00;0.28;0.57;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004437;;MOD;2006-01-01;2100-12-31;S-1839-C;S-1839-C;TAMAR ARRABIDA;S;;N;N;N;;;;FX;GNS;NO;;;;;4.78;0.00;0.75;1.28;0.00;0.00;0.00;1;1981-01-01;MFL;;;PA;1981-01-01,
PRT;PRT000004438;;MOD;2006-01-01;2100-12-31;S-1831-L;S-1831-L;O SOL E LINDO;S;;N;N;N;;;;FX;GNS;NO;;;;;3.20;0.00;0.24;0.49;0.00;3.00;0.00;1;1981-02-12;MFL;;;PA;1981-01-01,
PRT;PRT000004439;;MOD;2006-01-01;2100-12-31;S-1845-L;S-1845-L;MARIA LEVY;S;;N;N;N;;;;FX;GNS;NO;;;;;3.20;0.00;0.26;0.43;0.00;0.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000004440;;MOD;2006-01-01;2100-12-31;S-1829-L;S-1829-L;S. PEDRO PESCADOR;S;;N;N;N;;;;FX;GNS;LLS;;;;;5.20;0.00;0.81;1.45;0.00;7.00;0.00;1;1987-06-23;MFL;;;PA;1987-01-01,
PRT;PRT000004441;;MOD;2006-01-01;2100-12-31;S-1820-L;S-1820-L;SANDRA E CARLA;S;;N;N;N;;;;FX;GNS;NO;;;;;3.60;0.00;0.41;1.24;0.00;0.00;0.00;1;1980-12-19;MFL;;;PA;1980-01-01,
PRT;PRT000004442;;MOD;2006-01-01;2100-12-31;S-1835-L;S-1835-L;VALHA-ME DEUS;S;;N;N;N;;;;FX;GTR;NO;;;;;5.65;0.00;0.99;1.57;0.00;0.00;0.00;1;1982-05-11;MFL;;;PA;1982-01-01,
PRT;PRT000004443;;MOD;2006-01-01;2100-12-31;S-1837-L;S-1837-L;SEIS NETOS;S;;N;N;N;;;;FX;GTR;NO;;;;;5.00;0.00;0.90;1.70;0.00;3.00;0.00;1;1981-02-18;MFL;;;PA;1981-01-01,
PRT;PRT000004445;;MOD;2019-09-26;2100-12-31;S-1821-L;S-1821-L;SEMPRE JOVEM;S;;N;N;N;N;N;;MOX;GNS;NO;;;;;6.70;0.00;1.03;1.79;0.00;4.00;0.00;1;1981-01-19;MFL;;;PA;1981-01-01,
PRT;PRT000004447;;MOD;2018-05-15;2100-12-31;S-1819-L;S-1819-L;TIAGO;S;;N;Y;N;N;N;;MOX;LLS;NO;;;;;3.23;0.00;0.26;0.50;0.00;3.60;0.00;1;1987-06-04;MFL;;;PA;1987-01-01,
PRT;PRT000004448;;MOD;2006-01-01;2100-12-31;S-1809-L;S-1809-L;MARIA GRACIELA;S;;N;N;N;;;;FX;GNS;LLS;;;;;3.20;0.00;0.24;0.46;0.00;0.00;0.00;1;1987-09-08;MFL;;;PA;1987-01-01,
PRT;PRT000004449;;MOD;2017-05-29;2021-05-12;S-1795-L;S-1795-L;SALTA-PEIXE;S;;N;Y;N;;;;MOX;GTR;LHP;;;;;7.15;0.00;1.35;2.48;0.00;18.40;0.00;1;1980-12-31;MFL;;;PA;1980-01-01,
