"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"FIDES_stockID";"area";"areaBis";"TAC.area.description";"Comments";"reportingName";"latinName_old";"FIDES_stockID_old"
"North Atlantic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"No TAC";"IX";"27_9";"";"";"Dicentrarchus labrax";"Dicentrarchus labrax";"No TAC"
"North Sea and Eastern Arctic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"No TAC";"IV, VIId";"27_4,27_7_D";"";"";"Dicentrarchus labrax";"Dicentrarchus labrax";"No TAC"
"North Atlantic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"No TAC";"all areas excluding IX";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10,27_12,27_14";"";"";"Dicentrarchus labrax";"Dicentrarchus labrax";"No TAC"
"Mediterranean and Black Sea";"Sea bass";"Dicentrarchus labrax";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Dicentrarchus labrax";"Dicentrarchus labrax";"No TAC"
"North Atlantic";"Wedge sole";"Dicologlossa cuneata";"ICES";NA;"No TAC";"VIIIc, IX";"27_8_C,27_9";"";"";"Dicologlossa cuneata";"Dicologlossa cuneata";"No TAC"
"North Atlantic";"Flapper skate";"Dipturus intermedius";"ICES";NA;"No TAC";"IIa, V, VI, VII, VIII, IXa";"27_2_A,27_5,27_6,27_7,27_8,27_9_A";"";"";"Dipturus intermedius";"Dipturus intermedius";"No TAC"
"Other regions";"Patagonian toothfish";"Dissostichus eleginoides";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Dissostichus eleginoides";"Dissostichus eleginoides";"No TAC"
"Other regions";"Toothfish";"Dissostichus spp Dissostichus eleginoides and Dissostichus mawsoni)";"CCAMLR";NA;"No TAC";"CCAMLR Convention Area";"48, 58, 88";"";"";"Dissostichus spp Dissostichus eleginoides and Dissostichus mawsoni)";"Dissostichus spp Dissostichus eleginoides and Dissostichus mawsoni)";"No TAC"
"Other regions";"Rainbow runner";"Elagatis bipinnulata";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Elagatis bipinnulata";"Elagatis bipinnulata";"No TAC"
"Mediterranean and Black Sea";"Horned/curled octopus";"Eledone cirrhosa";"GFCM";NA;"No TAC";"1.1, 1.3, 2.1, 2.2, 3.1";"1.1, 1.3, 2.1, 2.2, 3.1";"";"";"Eledone cirrhosa";"Eledone cirrhosa";"No TAC"
"Mediterranean and Black Sea";"Musky octopus";"Eledone moschata";"GFCM";NA;"No TAC";"1.3, 2.1, 2.2, 3.1";"1.3, 2.1, 2.2, 3.1";"";"";"Eledone moschata";"Eledone moschata";"No TAC"
"Other regions";"Cape bonnetmouth";"Emmelichthys nitidus";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Emmelichthys nitidus";"Emmelichthys nitidus";"No TAC"
"Mediterranean and Black Sea";"Anchovy";"Engraulis encrasicolus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Engraulis encrasicolus";"Engraulis encrasicolus";"No TAC"
"Other regions";"Anchovy";"Engraulis encrasicolus";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Engraulis encrasicolus";"Engraulis encrasicolus";"No TAC"
"Mediterranean and Black Sea";"Anchovy";"Engraulis encrasicolus";"GFCM";NA;"No TAC";"Black Sea GSA 29";"Black Sea GSA 29";"";"";"Engraulis encrasicolus";"Engraulis encrasicolus";"No TAC"
"North Atlantic";"Anchovy";"Engraulis encrasicolus";"ICES";NA;"ANE9/3411";"IXa (only Cadiz)";"27_9_A";"";"";"Engraulis encrasicolus";"Engraulis encrasicolus";"ANE9/3411"
"North Atlantic";"Anchovy";"Engraulis encrasicolus";"ICES";NA;"ANE08.";"VIII";"27_8";"";"";"Engraulis encrasicolus";"Engraulis encrasicolus";"ANE08."
"Other regions";"Cardinal fish";"Epigonus spp";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Epigonus spp";"Epigonus spp";"No TAC"
"Other regions";"White grouper";"Epinephelus aeneus";"CECAF";NA;"No TAC";"34.1.3,34.3.1,34.3.3-6";"34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Epinephelus aeneus";"Epinephelus aeneus";"No TAC"
"Other regions";"Red hind";"Epinephelus guttatus";"WECAFC";NA;"No TAC";"West Central Atlantic";"31";"";"";"Epinephelus guttatus";"Epinephelus guttatus";"No TAC"
"Other regions";"Bonga shad";"Ethmalosa fimbriata";"CECAF";NA;"No TAC";"34.3.1,34.3.3-6";"34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Ethmalosa fimbriata";"Ethmalosa fimbriata";"No TAC"
"North Atlantic";"Velvet belly";"Etmopterus spinax";"ICES";NA;"No TAC";"VI, VII, VIII";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8";"";"";"Etmopterus spinax";"Etmopterus spinax";"No TAC"
"Mediterranean and Black Sea";"Velvet belly";"Etmopterus spinax";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Etmopterus spinax";"Etmopterus spinax";"No TAC"
"North Atlantic";"Velvet belly";"Etmopterus spinax";"ICES";NA;"No TAC";"VI, VII, VIII";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K";"";"";"Etmopterus spinax";"Etmopterus spinax";"No TAC"
"Other regions";"Krill";"Euphausia superba";"CCAMLR";NA;"No TAC";"CCAMLR Convention Area";"48, 58, 88";"";"";"Euphausia superba";"Euphausia superba";"No TAC"
"Other regions";"Kawakawa";"Euthynnus affinis";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Euthynnus affinis";"Euthynnus affinis";"No TAC"
"Other regions";"Atlantic back skipjack";"Euthynnus alleteratus";"ICCAT";NA;"No TAC";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Euthynnus alleteratus";"Euthynnus alleteratus";"No TAC"
"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"No TAC";"IV";"27_4";"";"";"Eutrigla gurnardus";"Eutrigla gurnardus";"No TAC"
"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"No TAC";"IV";"27_4";"";"";"Eutrigla gurnardus";"Eutrigla gurnardus";"No TAC"
"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"No TAC";"IIIa";"27_3_A";"";"";"Eutrigla gurnardus";"Eutrigla gurnardus";"No TAC"
"North Atlantic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"No TAC";"VIIde";"27_7_D,27_7_E";"";"";"Eutrigla gurnardus";"Eutrigla gurnardus";"No TAC"
"Mediterranean and Black Sea";"Grey gurnard";"Eutrigla gurnardus";"GFCM";NA;"No TAC";"2.2, 3.1";"2.2, 3.1";"";"";"Eutrigla gurnardus";"Eutrigla gurnardus";"No TAC"
"Other regions";"Southern pink shrimp";"Farfantepenaeus notialis";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Farfantepenaeus notialis";"Farfantepenaeus notialis";"No TAC"
"North Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD05B-F.";"Vb";"27_5_B";"Faroe zone: Vb)";"";"Gadus morhua";"Gadus morhua";"COD05B-F."
"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD3BC+24";"22-24";"27_3_C_22, 27_3_B_23,27_3_D_24";"IIIb)c)d) (1) - Sub Divisions 22 to 24";"";"Gadus morhua";"Gadus morhua";"COD3BC+24"
"Other regions";"Cod";"Gadus morhua";"NAFO 3M";NA;"";"21";"";"";"";"Gadus morhua";"Gadus morhua";""
"Other regions";"Cod";"Gadus morhua";"NAFO 2J 3KL";NA;"";"21";"";"";"";"Gadus morhua";"Gadus morhua";""
"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD3DX32.";"25-32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32";"IIId) (1) - Sub Divisions 25-32";"";"Gadus morhua";"Gadus morhua";"COD3DX32."
"North Atlantic";"Cod";"Gadus morhua";"ICES";NA;"No TAC";"Va";"27_5_A";"";"";"Gadus morhua";"Gadus morhua";"No TAC"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD03AS.";"IIIaS";"27_3_A";"Kattegat (Division IIIa)";"";"Gadus morhua";"Gadus morhua";"COD03AS."
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD1/2B.,COD1N2AB.";"I-II";"27_1,27_2";"I-IIb)";"";"Gadus morhua";"Gadus morhua";"COD1/2B."
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD03AN.";"IIIaN";"27_3_A";"Skagerrak (Division IIIa)";"";"Gadus morhua";"Gadus morhua";"COD03AN."
"North Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD07A.";"VIIa";"27_7_A";"ICES division VIIa - Irish Sea";"";"Gadus morhua";"Gadus morhua";"COD07A."
"North Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD5BE6A";"VIa";"27_6_A";"Via,   EU and international waters of Vb east of 12W";"";"Gadus morhua";"Gadus morhua";"COD5BE6A"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD2A3AX4,COD07D.,COD04-N.";"IV, VIId";"27_4,27_7_D";"IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel";"";"Gadus morhua";"Gadus morhua";"COD2A3AX4,COD07D."
"Other regions";"Cod";"Gadus morhua";"NAFO SA1";NA;"";"21";"";"";"";"Gadus morhua";"Gadus morhua";""
"North Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD5W6-14";"Vib";"27_6_B";"Vib,   EU and international waters of Vb west of 12 W and of XII and XIV";"";"Gadus morhua";"Gadus morhua";"COD5W6-14"
"North Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD7XAD34";"VIIe-k";"27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"VII b-c, e-k, VIII, IX and X, EC waters of CECAF 34.1.1";"";"Gadus morhua";"Gadus morhua";"COD7XAD34"
"Other regions";"Cod";"Gadus morhua";"NAFO 3NO";NA;"";"21";"";"";"";"Gadus morhua";"Gadus morhua";""
"Other regions";"Cod";"Gadus morhua";"NAFO 3Ps";NA;"";"21";"";"";"";"Gadus morhua";"Gadus morhua";""
"Other regions";"Lesser African threadfin";"Galeoides decadactylus";"CECAF";NA;"No TAC";"34.1.3,34.3.1,34.3.3-6";"34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Galeoides decadactylus";"Galeoides decadactylus";"No TAC"
"North Sea and Eastern Arctic";"Tope shark";"Galeorhinus galeus";"ICES";NA;"No TAC";"all areas";"27_4,27_7_D";"";"";"Galeorhinus galeus";"Galeorhinus galeus";"No TAC"
"Mediterranean and Black Sea";"Tope shark";"Galeorhinus galeus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Galeorhinus galeus";"Galeorhinus galeus";"No TAC"
"North Atlantic";"Tope shark";"Galeorhinus galeus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Galeorhinus galeus";"Galeorhinus galeus";"No TAC"
"North Atlantic";"Blackmouth catshark";"Galeus melastomus";"ICES";NA;"No TAC";"VI, VII";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K ";"";"";"Galeus melastomus";"Galeus melastomus";"No TAC"
"Mediterranean and Black Sea";"Blackmouth catshark";"Galeus melastomus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Galeus melastomus";"Galeus melastomus";"No TAC"
"Mediterranean and Black Sea";"Crest-tail catsharks nei";"Galeus spp";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Galeus spp";"Galeus spp";"No TAC"
"Other regions";"Torroto grunt";"Genyatremus luteus";"WECAFC";NA;"No TAC";"French Guyana";"31";"";"";"Genyatremus luteus";"Genyatremus luteus";"No TAC"
"North Atlantic";"Witch ";"Glyptocephalus cynoglossus";"ICES";NA;"No TAC";"VI, VII";"27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"";"";"Glyptocephalus cynoglossus";"Glyptocephalus cynoglossus";"No TAC"
"North Sea and Eastern Arctic";"Witch flounder";"Glyptocephalus cynoglossus";"ICES";NA;"No TAC";"IIIa";"27_3_A";"";"";"Glyptocephalus cynoglossus";"Glyptocephalus cynoglossus";"No TAC"
"Other regions";"Witch flounder";"Glyptocephalus cynoglossus";"NAFO 2J3KL";NA;"";"21";"";"";"";"Glyptocephalus cynoglossus";"Glyptocephalus cynoglossus";""
"Other regions";"Witch flounder";"Glyptocephalus cynoglossus";"NAFO 3NO";NA;"";"21";"";"";"";"Glyptocephalus cynoglossus";"Glyptocephalus cynoglossus";""
"North Sea and Eastern Arctic";"Witch flounder";"Glyptocephalus cynoglossus";"ICES";NA;"WIT2AC4-C,L/W2AC4-C";"IV";"27_4";"EC waters of IIa) and IV";"";"Glyptocephalus cynoglossus";"Glyptocephalus cynoglossus";"WIT2AC4-C"
"Other regions";"Grunters";"Haemulidae";"WECAFC";NA;"No TAC";"Guadeloupe and Martinique";"31";"";"";"Haemulidae";"Haemulidae";"No TAC"
"North Atlantic";"Pacific longnose chimaera";"Harriotta raleighana";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Harriotta raleighana";"Harriotta raleighana";"No TAC"
"North Atlantic";"Bluemouth rockfish";"Helicolenus dactylopterus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Helicolenus dactylopterus";"Helicolenus dactylopterus";"No TAC"
"North Sea and Eastern Arctic";"Blue-mouth rockfish";"Helicolenus dactylopterus";"ICES";NA;"No TAC";"IV";"27_4";"";"";"Helicolenus dactylopterus";"Helicolenus dactylopterus";"No TAC"
"Other regions";"Blackbelly rosefishes";"Helicolenus spp";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Helicolenus spp";"Helicolenus spp";"No TAC"
"Mediterranean and Black Sea";"Sharpnose sevengill shark";"Heptranchias perlo";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Heptranchias perlo";"Heptranchias perlo";"No TAC"
"North Atlantic";"Bluntnose sixgill shark";"Hexanchus griseus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Hexanchus griseus";"Hexanchus griseus";"No TAC"
"Mediterranean and Black Sea";"Bluntnose sixgill shark";"Hexanchus griseus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Hexanchus griseus";"Hexanchus griseus";"No TAC"
"Other regions";"American plaice";"Hippoglossoides platessoides";"NAFO 3M";NA;"";"21";"";"";"";"Hippoglossoides platessoides";"Hippoglossoides platessoides";""
"Other regions";"American plaice";"Hippoglossoides platessoides";"NAFO 3LNO";NA;"";"21";"";"";"";"Hippoglossoides platessoides";"Hippoglossoides platessoides";""
"North Atlantic";"Atlantic halibut";"Hippoglossus hippoglossus";"ICES";NA;"HAL514GRN";"V, XIV";"27_5,27_14";"";"";"Hippoglossus hippoglossus";"Hippoglossus hippoglossus";"HAL514GRN"
"Other regions";"Atlantic halibut";"Hippoglossus hippoglossus";"NAFO SA1";NA;"";"21";"";"";"";"Hippoglossus hippoglossus";"Hippoglossus hippoglossus";""
"North Atlantic";"Lobster";"Homarus gammarus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Homarus gammarus";"Homarus gammarus";"No TAC"
"Other regions";"Orange roughy";"Hoplostethus atlanticus";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Hoplostethus atlanticus";"Hoplostethus atlanticus";"No TAC"
"North Atlantic";"Orange roughy";"Hoplostethus atlanticus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Hoplostethus atlanticus";"Hoplostethus atlanticus";"No TAC"
"North Sea and Eastern Arctic";"Smalleyed rabbitfish";"Hydrolagus affinis";"ICES";NA;"No TAC";"IV, VIId";"27_4,27_7_D";"";"";"Hydrolagus affinis";"Hydrolagus affinis";"No TAC"
"North Atlantic";"Smalleyed rabbitfish";"Hydrolagus affinis";"ICES";NA;"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Hydrolagus affinis";"Hydrolagus affinis";"No TAC"
"North Atlantic";"Large-eyed rabbitfish";"Hydrolagus mirabilis";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Hydrolagus mirabilis";"Hydrolagus mirabilis";"No TAC"
"North Atlantic";"Ghost shark";"Hydrolagus pallidus";"ICES";NA;"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Hydrolagus pallidus";"Hydrolagus pallidus";"No TAC"
"Other regions";"Shortfin squid";"Illex illecebrosus";"NAFO Subareas 3 + 4";NA;"";"21";"";"";"";"Illex illecebrosus";"Illex illecebrosus";""
"Mediterranean and Black Sea";"Squid";"Illex spp";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Illex spp";"Illex spp";"No TAC"
"Other regions";"Sailfish";"Istiophorus albicans";"ICCAT";NA;"No TAC";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Istiophorus albicans";"Istiophorus albicans";"No TAC"
"Other regions";"Indo-Pacific sailfish";"Istiophorus platypterus";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Istiophorus platypterus";"Istiophorus platypterus";"No TAC"
"Other regions";"Sailfish";"Istiophorus platypterus";"";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Istiophorus platypterus";"Istiophorus platypterus";"No TAC"
"Mediterranean and Black Sea";"Shortfin mako";"Isurus oxyrinchus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Isurus oxyrinchus";"Isurus oxyrinchus";"No TAC"
"Mediterranean and Black Sea";"Shortfin mako";"Isurus oxyrinchus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Isurus oxyrinchus";"Isurus oxyrinchus";"No TAC"
"North Atlantic";"Shortfin mako";"Isurus oxyrinchus";"ICES";NA;"No TAC";"all areas (North of 50°N)";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Isurus oxyrinchus";"Isurus oxyrinchus";"No TAC"
"Other regions";"Tristan rock lobster";"Jasus tristani";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Jasus tristani";"Jasus tristani";"No TAC"
"Other regions";"Skipjack tuna";"Katsuwonus pelamis";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Katsuwonus pelamis";"Katsuwonus pelamis";"No TAC"
"Other regions";"Skipjack tuna";"Katsuwonus pelamis";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Katsuwonus pelamis";"Katsuwonus pelamis";"No TAC"
"Other regions";"Skipjack tuna";"Katsuwonus pelamis";"ICCAT";NA;"No TAC";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Katsuwonus pelamis";"Katsuwonus pelamis";"No TAC"
"Other regions";"Skipjack tuna";"Katsuwonus pelamis";"IATTC";NA;"No TAC";"East Pacific Ocean";"";"";"";"Katsuwonus pelamis";"Katsuwonus pelamis";"No TAC"
"Mediterranean and Black Sea";"Porbeagle";"Lamna nasus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Lamna nasus";"Lamna nasus";"No TAC"
"North Atlantic";"Porbeagle";"Lamna nasus";"ICES";NA;"No TAC";"all areas (subareas 1-14)";"27";"";"";"Lamna nasus";"Lamna nasus";"No TAC"
"Other regions";"Moonfish (opah)";"Lampris regius";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Lampris regius";"Lampris regius";"No TAC"
"Other regions";"Escolar";"Lepidocybium f lavobrunneum";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Lepidocybium f lavobrunneum";"Lepidocybium f lavobrunneum";"No TAC"
"North Atlantic";"Silver scabbardfish";"Lepidopus caudatus";"ICES";NA;"SFSXDS";"IXa";"27_9_A";"NEAFC Stock - Deep Sea Fisheries";"";"Lepidopus caudatus";"Lepidopus caudatus";"SFSXDS"
"North Sea and Eastern Arctic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";NA;"LEZ2AC4-C";"IV, VIId";"27_4,27_7_D";"EC waters of IIa) and IV";"";"Lepidorhombus boscii";"Lepidorhombus boscii";"LEZ2AC4-C"
"North Atlantic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";NA;"LEZ8C3411";"VIIIc, IXa";"27_8_C,27_9_A";"VIIIc), IX, X,  COPACE 34.1.1 (1),   international waters of XII and XIV ";"";"Lepidorhombus boscii";"Lepidorhombus boscii";"LEZ8C3411"
"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ2AC4-C";"IV, VIId";"27_4,27_7_D";"EC waters of IIa) and IV";"";"Lepidorhombus whiffiagonis";"Lepidorhombus whiffiagonis";"LEZ2AC4-C"
"North Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ56-14";"VI";"27_6";"VI,  EU and international waters of Vb";"";"Lepidorhombus whiffiagonis";"Lepidorhombus whiffiagonis";"LEZ56-14"
"North Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ8C3411";"VIIIc, IXa";"27_8_C,27_9_A";"";"";"Lepidorhombus whiffiagonis";"Lepidorhombus whiffiagonis";"LEZ8C3411"
"North Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ07.,LEZ8ABDE.";"VII, VIIIabd";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B";"";"";"Lepidorhombus whiffiagonis";"Lepidorhombus whiffiagonis";"LEZ07.,LEZ8ABDE."
"Other regions";"Silver scabbardfish";"Lepidotus caudatus";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Lepidotus caudatus";"Lepidotus caudatus";"No TAC"
"Other regions";"Yellowtail flounder";"Limanda ferruginea";"NAFO 3LNO";NA;"";"21";"";"";"";"Limanda ferruginea";"Limanda ferruginea";""
"Baltic Sea";"Dab";"Limanda limanda";"ICES";NA;"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Limanda limanda";"Limanda limanda";"No TAC"
"North Atlantic";"Dab";"Limanda limanda";"ICES";NA;"No TAC";"VIIe";"27_7_E";"";"";"Limanda limanda";"Limanda limanda";"No TAC"
"North Sea and Eastern Arctic";"Dab";"Limanda limanda";"ICES";NA;"No TAC";"IIIa";"27_3_A";"";"";"Limanda limanda";"Limanda limanda";"No TAC"
"North Atlantic";"Dab";"Limanda limanda";"ICES";NA;"No TAC";"VIIa,f-h";"27_7_A,27_7_F,27_7_G,27_7_H";"";"";"Limanda limanda";"Limanda limanda";"No TAC"
"North Sea and Eastern Arctic";"Dab";"Limanda limanda";"ICES";NA;"DAB2AC4-C";"IV, VIId";"27_4,27_7_D";"EC waters of IIa) and IV";"";"Limanda limanda";"Limanda limanda";"DAB2AC4-C"
"Other regions";"Tripletail";"Lobotes surinamensis";"WECAFC";NA;"No TAC";"French Guyana";"31";"";"";"Lobotes surinamensis";"Lobotes surinamensis";"No TAC"
"North Atlantic";"Common squid";"Loligo vulgaris";"ICES";NA;"No TAC";"VIIIc, IXa";"27_8_C,27_9_A";"";"";"Loligo vulgaris";"Loligo vulgaris";"No TAC"
"North Atlantic";"Common squid";"Loligo vulgaris";"ICES";NA;"No TAC";"all areas excluding VIIIc, IXa";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E,27_9_ B,27_10,27_12,27_14";"";"";"Loligo vulgaris";"Loligo vulgaris";"No TAC"
"Other regions";"Common squid";"Loligo vulgaris";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Loligo vulgaris";"Loligo vulgaris";"No TAC"
"Mediterranean and Black Sea";"Common squid";"Loligo vulgaris";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Loligo vulgaris";"Loligo vulgaris";"No TAC"
"North Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF07.,ANF8ABDE";"VIIb-k, VIIIabd";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D";"";"";"Lophius budegassa";"Lophius budegassa";"ANF07.,ANF8ABDE"
"North Sea and Eastern Arctic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF04-N.,ANF2AC4-C";"IV, VIId";"27_4,27_7_D";"";"";"Lophius budegassa";"Lophius budegassa";"ANF2AC4-C"
"North Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF8C3411";"VIIIc, IXa";"27_8_C,27_9_A";"";"";"Lophius budegassa";"Lophius budegassa";"ANF8C3411"
"North Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF56-14,ANF04-N.,ANF2AC4-C";"IV, VI";"27_4,27_6";"";"";"Lophius budegassa";"Lophius budegassa";"ANF2AC4-C,ANF56-14"
