"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"X3A_CODE";"FIDES_AREA";"area";"areaBis";"TAC.area.description";"Comments";"areaRDB"
"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";NA;"SAL";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";NA;"MAC";"2A34.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"IVa) (1), IVb) (1),IVc) (1)";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Brill";"Scophthalmus rhombus";"ICES";NA;"BLL";"2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Lesser-spotted dogfish";"Scyliorhinus canicula";"ICES";NA;"SYC";"";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Sole";"Solea solea";"ICES";NA;"SOL";"3ABC24";"Union waters of 2a, 3a and 4";"27_2_A,27_3_A,27_4";"";"";"27_2_A,27_3_A,27_4"
"North Sea and Eastern Arctic";"Sole";"Solea solea";"ICES";NA;"SOL";"07D.";"7d";"27_7_D";"";"";"27_7_D"
"North Sea and Eastern Arctic";"Sprat";"Sprattus sprattus";"ICES";NA;"SPR";"03A.,2AC4-C";"Union waters of 2a, 3a and 4";"27_2_A,27_3_A,27_4";"IIIa)";"";"27_2_A,27_3_A,27_4"
"North Sea and Eastern Arctic";"Sprat";"Sprattus sprattus";"ICES";NA;"SPR";"7DE.";"7d";"27_7_D";"VIId)e)";"";"27_7_D"
"North Sea and Eastern Arctic";"Picked dogfish";"Squalus acanthias";"ICES";NA;"DGS";"15X14";"All areas";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Horse mackerel";"Trachurus trachurus";"ICES";NA;"JAX";"4BC7D";"Union waters of 4b, 4c and 7d";"27_4_B,27_4_C,27_7_D";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";"27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Tub gurnard";"Trigla lucerna";"ICES";NA;"GUU";"No TAC";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Norway pout";"Trisopterus esmarki";"ICES";NA;"NOP";"2A3A4.";"3a, 4";"27_3_A,27_4";"IIIa,   EU waters of IIa and IV, IIIa,  EC waters of IIa and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"John Dory";"Zeus faber";"ICES";NA;"JOD";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North-East Atlantic";"Queen scallop";"Aequipecten opercularis";"ICES";NA;"QSC";"No TAC";"7";"27_7";"";"";"27_7"
"North-East Atlantic";"Smoothhead";"Alepocephalus bairdii";"ICES";NA;"ALC";"No TAC";"6, 12";"27_6,27_12";"";"";"27_6,27_12"
"North-East Atlantic";"Sand eel";"Ammodytidae";"ICES";NA;"SAN";"No TAC";"6a";"27_6_A";"??";"";"27_6_A"
"North-East Atlantic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Black scabbardfish";"Aphanopus carbo";"ICES";NA;"BSF";"56712-";"5, 6, 7, 12";"27_5,27_6,27_7,27_12";"";"";"27_5,27_6,27_7,27_12"
"North-East Atlantic";"Black scabbardfish";"Aphanopus carbo";"ICES";NA;"BSF";"8910-";"9, 10, 13";"27_9,27_10,27_13";"";"";"27_9,27_10,27_13"
"North-East Atlantic";"Deep water catsharks";"Apristurus spp.";"ICES";NA;"API";"";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_8,27_9,27_10";"";"";"27_5,27_6,27_8,27_9,27_10"
"North-East Atlantic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"567.";"5, 6, 7";"27_5,27_6,27_7";"";"";"27_5,27_6,27_7"
"North-East Atlantic";"Meagre";"Argyrosomus regius";"ICES";NA;"MGR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Red gurnard";"Aspitrigla cuculus";"ICES";NA;"GUR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Alfonsinos";"Beryx spp";"ICES";NA;"ALF";"3X14-";"mars-14";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_11,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_11,27_12,27_14"
"North-East Atlantic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"567EI.";"5, 6, 7";"27_5,27_6,27_7";"";"";"27_5,27_6,27_7"
"North-East Atlantic";"Edible crab";"Cancer pagurus";"ICES";NA;"CRE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Boarfish";"Capros aper";"ICES";NA;"BOR";"678-";"6, 7, 8";"27_6,27_7,27_8";"EU and international waters of VI, VII and VIII";"";"27_6,27_7,27_8"
"North-East Atlantic";"Gulper shark";"Centrophorus spp.";"ICES";NA;"CWO";"";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10"
"North-East Atlantic";"Portuguese dogfish";"Centroscymnus coelolepis";"ICES";NA;"CYO";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7,27_8,27_9,27_10";"";"";"27_5,27_6,27_7,27_8,27_9,27_10"
"North-East Atlantic";"Longnose velvet dogfish";"Centroscymnus crepidater";"ICES";NA;"CYP";"";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10"
"North-East Atlantic";"Black dogfish";"Centroscyllium fabricii";"ICES";NA;"CFB";"";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10"
"North-East Atlantic";"Frilled shark";"Chlamydoselachus anguineus";"ICES";NA;"HXC";"";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10"
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER";"06ACL.";"5a";"27_5_A";"";"";"27_5_A"
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER";"5B6ANB";"5b, 6b";"27_5_B,27_6_B";"";"";"27_5_B,27_6_B"
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER";"07A/MM";"7aN";"27_7_A";"";"";"27_7_A"
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER";"6AS7BC";"6a, 7bc";"27_6_A,27_7_B,27_7_C";"";"";"27_6_A,27_7_B,27_7_C"
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER";"7G-K";"7aS, 7gh, 7jk";"27_7_A,27_7_G,27_7_H,27_7_J,27_7_K";"";"";"27_7_A,27_7_G,27_7_H,27_7_J,27_7_K"
"North-East Atlantic";"Conger";"Conger conger";"ICES";NA;"COE";"XDS";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"NEAFC Stock - Deep Sea Fisheries";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG";"5B67-";"5b, 6, 7";"27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"to be confirmed";"";"27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K"
"North-East Atlantic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG";"8X14-,514GRN";"8, 9, 10, 12, 14";"27_8,27_9,27_10,27_12,27_14";"to be confirmed";"";"27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Kitefin shark";"Dalatias licha";"ICES";NA;"SCK";"XDS";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"NEAFC Stock - Deep Sea Fisheries";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Common stingray";"Dasyatis pastinaca";"ICES";NA;"SRX";"67AKXD,07D.,89-C.";"7, 8";"27_7,27_8";"SRX = all rays";"";"27_7,27_8"
"North-East Atlantic";"Birdbeak dogfish";"Deania calcea";"ICES";NA;"DCA";"XDS";"5, 6, 7, 9, 10, 12";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12"
"North-East Atlantic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"BSS";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Wedge sole";"Dicologlossa cuneata";"ICES";NA;"CET";"No TAC";"8c, 9";"27_8_C,27_9";"";"";"27_8_C,27_9"
"North-East Atlantic";"Blue skate";"Dipturus batis, Dipturis intermedius";"ICES";NA;"DRJ,RJB";"";"6, 7a, 7e-k";"27_6,27_7_A,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"";"";"27_6,27_7_A,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K"
"North-East Atlantic";"Blue skate";"Dipturus batis, Dipturis intermedius";"ICES";NA;"DRJ,RJB";"";"8, 9a";"27_8_C,27_9_A";"";"";"27_8_C,27_9_A"
"North-East Atlantic";"Anchovy";"Engraulis encrasicolus";"ICES";NA;"ANE";"08.";"8";"27_8";"";"";"27_8"
"North-East Atlantic";"Anchovy";"Engraulis encrasicolus";"ICES";NA;"ANE";"9/3411";"9, 10";"27_9,27_10";"";"";"27_9,27_10"
"North-East Atlantic";"Great lanternshark";"Etmopterus princeps";"ICES";NA;"ETR";"";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7,27_8,27_9,27_10";"";"";"27_5,27_6,27_7,27_8,27_9,27_10"
"North-East Atlantic";"Velvet belly";"Etmopterus spinax";"ICES";NA;"ETX";"No TAC";"6, 7, 8, 10";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10";"";"";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10"
"North-East Atlantic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"GUG";"No TAC";"7e";"27_7_E";"";"";"27_7_E"
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD";"05B-F.";"5b";"27_5_B";"Faroe zone: Vb)";"";"27_5_B"
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD";"5BE6A";"6a";"27_6_A";"Via,   EU and international waters of Vb east of 12W";"";"27_6_A"
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD";"5W6-14";"6b";"27_6_B";"Vib,   EU and international waters of Vb west of 12 W and of XII and XIV";"";"27_6_B"
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD";"07A.";"7a";"27_7_A";"ICES division VIIa - Irish Sea";"";"27_7_A"
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD";"7XAD34";"7b, 7c, 7e-k, 8, 9, 10";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"VII b-c, e-k, VIII, IX and X, EC waters of CECAF 34.1.1";"";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10"
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";NA;"COD";"5W6-14";"5, 14";"27_5,27_14";"";"";"27_5,27_14"
"North-East Atlantic";"Tope shark";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"5-10, 12";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12"
"North-East Atlantic";"Black-mouthed dogfish";"Galeus melastomus";"ICES";NA;"SHO";"";"6, 7";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"";"";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K"
"North-East Atlantic";"Black-mouthed dogfish";"Galeus melastomus";"ICES";NA;"SHO";"";"8, 9a";"27_8,27_9_A";"";"";"27_8,27_9_A"
"North-East Atlantic";"Mouse catshark";"Galeus murinus";"ICES";NA;"GAM";"";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10"
"North-East Atlantic";"Witch ";"Glyptocephalus cynoglossus";"ICES";NA;"WIT";"No TAC";"6, 7";"27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"";"";"27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K"
"North-East Atlantic";"Bluntnose sixgill shark";"Hexanchus griseus";"ICES";NA;"SBL";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10"
"North-East Atlantic";"Bluemouth rockfish";"Helicolenus dactylopterus";"ICES";NA;"BRF";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Atlantic halibut";"Hippoglossus hippoglossus";"ICES";NA;"HAL";"514GRN";"5, 14";"27_5,27_14";"";"";"27_5,27_14"
"North-East Atlantic";"Lobster";"Homarus gammarus";"ICES";NA;"LBE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Orange roughy";"Hoplostethus atlanticus";"ICES";NA;"ORY";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Silver scabbardfish";"Lepidopus caudatus";"ICES";NA;"SFS";"XDS";"9a";"27_9_A";"NEAFC Stock - Deep Sea Fisheries";"";"27_9_A"
"North-East Atlantic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";NA;"LEZ,LDB";"8C3411";"8c, 9a";"27_8_C,27_9_A";"VIIIc), IX, X,  COPACE 34.1.1 (1),   international waters of XII and XIV ";"";"27_8_C,27_9_A"
"North-East Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ,MEG";"56-14";"6";"27_6";"VI,  EU and international waters of Vb";"";"27_6"
"North-East Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ,MEG";"07.,8ABDE.";"7, 8abd";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B";"";"";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B"
"North-East Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ,MEG";"8C3411";"8c, 9a";"27_8_C,27_9_A";"";"";"27_8_C,27_9_A"
"North-East Atlantic";"Sandy ray";"Leucoraja circularis";"ICES";NA;"RJI";"67AKXD";"6, 7";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K";"";"Leucoraja circularis";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K"
"North-East Atlantic";"Shagreen ray";"Leucoraja fullonica";"ICES";NA;"RJF";"02B.";"6, 7";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"";"Leucoraja fullonica";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K"
"North-East Atlantic";"Cuckoo ray";"Leucoraja naevus";"ICES";NA;"RJN";"67AKXD";"6, 7, 8ab";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B";"";"";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B"
"North-East Atlantic";"Cuckoo ray";"Leucoraja naevus";"ICES";NA;"RJN";"89-C.";"8c";"27_8_C";"";"";"27_8_C"
"North-East Atlantic";"Cuckoo ray";"Leucoraja naevus";"ICES";NA;"RJN";"89-C.";"9a";"27_9_A";"";"";"27_9_A"
"North-East Atlantic";"Dab";"Limanda limanda";"ICES";NA;"DAB";"No TAC";"7a, 7f-h";"27_7_A,27_7_F,27_7_G,27_7_H";"";"";"27_7_A,27_7_F,27_7_G,27_7_H"
"North-East Atlantic";"Dab";"Limanda limanda";"ICES";NA;"DAB";"No TAC";"7e";"27_7_E";"";"";"27_7_E"
"North-East Atlantic";"Common squid";"Loligo vulgaris";"ICES";NA;"SQR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_C,27_8_D,27_8_E,27_9_A,27_9_ B,27_10,27_12,27_14";"";"";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_C,27_8_D,27_8_E,27_9_A,27_9_B,27_10,27_12,27_14"
"North-East Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF,MNZ";"*56-14,56-14";"6";"27_6";"";"";"27_6"
"North-East Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF,MNZ";"07.,8ABDE";"7, 8abd";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D";"";"";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D"
"North-East Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF,MNZ";"8C3411";"8c, 9a";"27_8_C,27_9_A";"";"";"27_8_C,27_9_A"
"North-East Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON,MNZ";"*56-14,56-14";"6";"27_6";"";"";"27_6"
"North-East Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON,MNZ";"*56-14,56-14";"5b, 12, 14";"27_5_B,27_12,27_14";"";"";"27_5_B,27_12,27_14"
"North-East Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON,MNZ";"07.,8ABDE";"7, 8abd";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D";"";"";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D"
"North-East Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON,MNZ";"8C3411";"8c, 9a";"27_8_C,27_9_A";"";"";"27_8_C,27_9_A"
"North-East Atlantic";"Roughhead grenadier";"Macrourus berglax";"ICES";NA;"RHG";"8X14-,514GRN";"8, 9, 10, 12, 14";"27_8,27_9,27_10,27_12,27_14";"";"";"27_8,27_9,27_10,27_12,27_14"
"North-East Atlantic";"Spider crab";"Maja brachydactyla";"ICES";NA;"JDV";"No TAC";"5, 6, 7";"27_5,27_6,27_7";"";"";"27_5,27_6,27_7"
"North-East Atlantic";"Capelin";"Mallotus villosus";"ICES";NA;"CAP";"514GRN";"14";"27_14";"Greenland zone: V & XIV";"";"27_14"
"North-East Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"5BC6A.";"5b, 6a";"27_5_B, 27_6_A";"Faroe zone: Vb)";"";"27_5_B,27_6_A"
"North-East Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"6B1214";"6b, 12, 14";"27_6_B,27_12,27_14";"Ec and international waters of Vib),  XII and XIV";"";"27_6_B,27_12,27_14"
"North-East Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"07A.";"7a";"27_7_A";"ICES division VIIa - Irish Sea";"";"27_7_A"
"North-East Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"7X7A34";"7b-k, 8, 9, 10";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"VIIbcdefghjk, VII, IX, X, EC waters of CECAF 34.1.1";"";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10"
"North-East Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"08.";"8, 9, 10 ";"27_8,27_9,27_10";"";"";"27_8,27_9,27_10"
"North-East Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"56-14";"5b, 6, 12, 14";"27_5_B,27_6,27_12,27_14";"";"";"27_5_B,27_6,27_12,27_14"
"North-East Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"07A.";"7a";"27_6_A";"";"";"27_6_A"
"North-East Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"7X7A-C";"7b-k";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"";"";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K"
"North-East Atlantic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE";"571214";"5b, 6, 7, 12, 14";"27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_12,27_14";"VIIIabde, Vb (1), Vi, VII, XII, XIV";"";"27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_12,27_14"
