"Stock","Species","Areas","AreaType","StockDescription","AphiaID","WoRMSname","ID"
"agn.27.nea","AGN","27.1.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.1.b"
"agn.27.nea","AGN","27.2.a.1","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.2.a.1"
"agn.27.nea","AGN","27.2.a.2","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.2.a.2"
"agn.27.nea","AGN","27.12.c","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.12.c"
"agn.27.nea","AGN","27.10.a.2","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.10.a.2"
"agn.27.nea","AGN","27.10.a","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.10.a"
"agn.27.nea","AGN","27.10.a.1","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.10.a.1"
"agn.27.nea","AGN","27.10.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.10.b"
"agn.27.nea","AGN","27.9.b.1","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.b.1"
"agn.27.nea","AGN","27.9.b.2","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.b.2"
"agn.27.nea","AGN","27.12.a","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.12.a"
"agn.27.nea","AGN","27.12.a.1","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.12.a.1"
"agn.27.nea","AGN","27.12.a.2","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.12.a.2"
"agn.27.nea","AGN","27.12.a.3","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.12.a.3"
"agn.27.nea","AGN","27.12.a.4","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.12.a.4"
"agn.27.nea","AGN","27.5.a.1","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.5.a.1"
"agn.27.nea","AGN","27.14.b.1","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.14.b.1"
"agn.27.nea","AGN","27.14.b.2","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.14.b.2"
"agn.27.nea","AGN","27.5.a.2","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.5.a.2"
"agn.27.nea","AGN","27.4.outFU","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.4.outFU"
"agn.27.nea","AGN","27.7.outFU","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.outFU"
"agn.27.nea","AGN","27.6.a.outFU","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.6.a.outFU"
"agn.27.nea","AGN","27.6.b.outFU","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.6.b.outFU"
"agn.27.nea","AGN","27.5.b.1.a","IC_AreaUnit","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.5.b.1.a"
"agn.27.nea","AGN","27.5.b.1.b","IC_AreaUnit","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.5.b.1.b"
"agn.27.nea","AGN","27.9.a.c","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.a.c"
"alf.27.nea","ALF","27.4","IC_Sub-areas","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.4"
"alf.27.nea","ALF","27.4.a","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.4.a"
"alf.27.nea","ALF","27.4.a.e","IC_Sub-divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.4.a.e"
"alf.27.nea","ALF","27.4.a.w","IC_Sub-divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.4.a.w"
"alf.27.nea","ALF","27.6","IC_Sub-areas","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.6"
"alf.27.nea","ALF","27.7","IC_Sub-areas","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7"
"alf.27.nea","ALF","27.8","IC_Sub-areas","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.8"
"alf.27.nea","ALF","27.9","IC_Sub-areas","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.9"
"alf.27.nea","ALF","27.1","IC_Sub-areas","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.1"
"alf.27.nea","ALF","27.12","IC_Sub-areas","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.12"
"alf.27.nea","ALF","27.4.b","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.4.b"
"alf.27.nea","ALF","27.4.c","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.4.c"
"alf.27.nea","ALF","27.5.b","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.5.b"
"alf.27.nea","ALF","27.6.a","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.6.a"
"alf.27.nea","ALF","27.6.b","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.6.b"
"alf.27.nea","ALF","27.7.a","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.a"
"alf.27.nea","ALF","27.7.d","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.d"
"alf.27.nea","ALF","27.7.e","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.e"
"alf.27.nea","ALF","27.7.f","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.f"
"alf.27.nea","ALF","27.5.b.1","IC_Sub-divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.5.b.1"
"alf.27.nea","ALF","27.5.b.2","IC_Sub-divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.5.b.2"
"alf.27.nea","ALF","27.7.b","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.b"
"alf.27.nea","ALF","27.7.c","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.c"
"alf.27.nea","ALF","27.7.g","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.g"
"alf.27.nea","ALF","27.7.h","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.h"
"alf.27.nea","ALF","27.7.j","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.j"
"alf.27.nea","ALF","27.7.k","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.7.k"
"alf.27.nea","ALF","27.6.a.n","IC_Sub-divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.6.a.n"
"alf.27.nea","ALF","27.8.a","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.8.a"
"alf.27.nea","ALF","27.8.b","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.8.b"
"alf.27.nea","ALF","27.8.c","IC_Divisions","Alfonsinos (Beryx spp.) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",125700,"Beryx","125700 27.8.c"
