TAXOCODE,3A_CODE,Scientific_name,Author,,AphiaID,Match type,ScientificName,Authority,AphiaID_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,in_ERMS
17037238XX,FYX,Stellifer spp,,,159336,exact,Stellifer,Oken 1817,159336,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Stellifer,,,,0
13801030XX,RRX,Serrasalmus spp,,,270882,exact,Serrasalmus,Lacep?de 1803,270882,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Serrasalmus,,,,0
13812009XX,RWX,Semaprochilodus spp,,,270867,exact,Semaprochilodus,Fowler 1941,270867,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Semaprochilodus,,,,0
13804012XX,SXZ,Schizodon spp,,,270826,exact,Schizodon,Agassiz 1829,270826,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Schizodon,,,,0
14122021XX,RNX,Rhamdia spp,,,270723,exact,Rhamdia,Bleeker 1858,270723,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,,,,0
17209006XX,UYX,Pseudopercis spp,,,270605,exact,Pseudopercis,Miranda Ribeiro 1903,270605,Animalia,Chordata,Actinopterygii,Perciformes,Pinguipedidae,Pseudopercis,,,,0
11006006XX,QEX,Potamotrygon,,,270496,exact,Potamotrygon,Garman 1877,270496,Animalia,Chordata,Elasmobranchii,Rajiformes,Potamotrygonidae,Potamotrygon,,,,0
14122022XX,MXW,Pimelodus spp,,,270412,exact,Pimelodus,Lacep?de 1803,270412,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Pimelodus,,,,0
17023049XX,OXQ,Oligoplites spp,,,159642,exact,Oligoplites,Gill 1863,159642,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Oligoplites,,,,0
16302002XX,OGW,Odontesthes spp,,,270070,exact,Odontesthes,Evermann & Kendall 1906,270070,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Odontesthes,,,,0
12106038XX,EZW,Lycengraulis spp,,,269754,exact,Lycengraulis,Günther 1868,269754,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Lycengraulis,,,,0
13804011XX,LXZ,Leporinus spp,,,269644,exact,Leporinus,Agassiz 1829,269644,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Leporinus,,,,0
14128086XX,HZY,Hypostomus spp,,,269463,exact,Hypostomus,Lacep?de 1803,269463,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,,,,0
14127047XX,HXV,Hoplosternum spp,,,269424,exact,Hoplosternum,Gill 1858,269424,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Hoplosternum,,,,0
13808017XX,HVW,Hoplias spp,,,269419,exact,Hoplias,Gill 1903,269419,Animalia,Chordata,Actinopterygii,Characiformes,Erythrinidae,Hoplias,,,,0
14122148XX,HBU,Hypophthalmus spp,,,,,,,,,,,,,,,,,0
14306004XX,AXZ,Gymnothorax spp,,,125636,exact,Gymnothorax,Bloch 1795,125636,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,,,,1
17059148XX,GXX,Geophagus spp,,,269200,exact,Geophagus,Heckel 1840,269200,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Geophagus,,,,0
17059054XX,IGX,Cichla spp,,,268770,exact,Cichla,Bloch & Schneider 1801,268770,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Cichla,,,,0
13801013XX,BXH,Brycon spp,,,268606,exact,Brycon,Müller & Troschel 1844,268606,Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,,,,0
13815XXXXX,AZR,Acestrorhynchidae,,,151963,exact,Acestrorhynchidae,,151963,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhynchidae,,,,,0
61935XXXXX,QON,Primnoidae,,,125278,exact,Primnoidae,Milne Edwards 1857,125278,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,,,,1
61934XXXXX,BWV,Paragorgiidae,,,125281,exact,Paragorgiidae,Kükenthal 1916,125281,Animalia,Cnidaria,Anthozoa,Alcyonacea,Paragorgiidae,,,,,1
61936XXXXX,QFY,Chrysogorgiidae,,,125273,exact,Chrysogorgiidae,Verrill 1883,125273,Animalia,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,,,,,1
61919001XX,QFX,Lepidisis spp,,,125307,exact,Lepidisis,Verrill 1883,125307,Animalia,Cnidaria,Anthozoa,Alcyonacea,Isididae,Lepidisis,,,,1
69202002XX,QCX,Gorgonocephalus spp,,,123586,exact,Gorgonocephalus,Leach 1815,123586,Animalia,Echinodermata,Ophiuroidea,Euryalida,Gorgonocephalidae,Gorgonocephalus,,,,1
69113001XX,ZOR,Zoroaster spp,,,123237,exact,Zoroaster,Thomson 1873,123237,Animalia,Echinodermata,Asteroidea,Forcipulatida,Zoroasteridae,Zoroaster,,,,1
69109XXXXX,BHZ,Brisingidae,,,123119,exact,Brisingidae,G.O. Sars 1875,123119,Animalia,Echinodermata,Asteroidea,Brisingida,Brisingidae,,,,,1
14122090XX,UPY,Pseudoplatystoma spp,,,270611,exact,Pseudoplatystoma,Bleeker 1862,270611,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,,,,0
65501001XX,QDX,Colossendeis spp,,,134586,exact,Colossendeis,Jarzynsky 1870,134586,Animalia,Arthropoda,Pycnogonida,Pantopoda,Colossendeidae,Colossendeis,,,,1
61946XXXXX,KKV,Actinostolidae,,,100655,exact,Actinostolidae,Carlgren 1932,100655,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,,,,,1
61909XXXXX,KKW,Hormathiidae,,,100672,exact,Hormathiidae,Carlgren 1932,100672,Animalia,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,,,,,1
61402001XX,GVX,Acanthascus spp,,,171966,exact,Acanthascus,Schulze 1886,171966,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,,,,0
23019004XX,UWX,Uroptychus spp,,,106833,exact,Uroptychus,Henderson 1888,106833,Animalia,Arthropoda,Malacostraca,Decapoda,Chirostylidae,Uroptychus,,,,1
23019002XX,UEX,Munida spp,,,106835,exact,Munida,Leach 1820,106835,Animalia,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,,,,1
22302001XX,AJX,Acutiserolis spp,,,175135,exact,Acutiserolis,Brandt 1988,175135,Animalia,Arthropoda,Malacostraca,Isopoda,Serolidae,Acutiserolis,,,,0
22810005XX,QAX,Oplophorus spp,,,107026,exact,Oplophorus,H. Milne Edwards 1837 [in H. Milne Edwards 1834-1840],107026,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Oplophorus,,,,1
22810001XX,FBX,Acanthephyra spp,,,107018,exact,Acanthephyra,A. Milne-Edwards 1881b,107018,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,,,,1
22830001XX,NYX,Nematocarcinus spp,,,107015,exact,Nematocarcinus,A. Milne-Edwards 1881b,107015,Animalia,Arthropoda,Malacostraca,Decapoda,Nematocarcinidae,Nematocarcinus,,,,1
32127001XX,QBX,Opisthoteuthis spp,,,138294,exact,Opisthoteuthis,Verrill 1883,138294,Animalia,Mollusca,Cephalopoda,Octopoda,Opisthoteuthidae,Opisthoteuthis,,,,1
32109066XX,DWO,Graneledone spp,,,157018,exact,Graneledone,Joubin 1918,157018,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Graneledone,,,,1
64922001XX,UFX,Thermiphione spp,,,324994,exact,Thermiphione,,324994,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Thermiphione,,,,0
64921001XX,FXX,Eunice spp,,,,,,,,,,,,,,,,,0
61931001XX,FIX,Flabellum spp,,,135114,exact,Flabellum,Lesson 1831,135114,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Flabellum,,,,1
61703002XX,NWX,Lepidotheca spp,,,231552,exact,Lepidotheca,Cairns 1983,231552,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Lepidotheca,,,,0
61703001XX,DWX,Errina spp,,,117242,exact,Errina,Gray 1835,117242,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Errina,,,,1
61919XXXXX,IQO,Isididae,,,125276,exact,Isididae,Lamouroux 1812,125276,Animalia,Cnidaria,Anthozoa,Alcyonacea,Isididae,,,,,1
61936002XX,FHX,Chrysogorgia spp,,,125294,exact,Chrysogorgia,Duchassaing & Michelotti 1864,125294,Animalia,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgia,,,,1
61943001XX,UXX,Telesto spp,,,177688,exact,Telesto,Lamouroux 1812,177688,Animalia,Cnidaria,Anthozoa,Alcyonacea,Clavulariidae,Telesto,,,,0
61942001XX,NVX,Liponema spp,,,100769,exact,Liponema,Hertwig 1888,100769,Animalia,Cnidaria,Anthozoa,Actiniaria,Liponematidae,Liponema,,,,1
61903004XX,BVX,Bolocera spp,,,100698,exact,Bolocera,Gosse 1860,100698,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Bolocera,,,,1
61940001XX,OJZ,Ombellula spp,,,,,,,,,,,,,,,,,0
61937001XX,AJG,Anthoptilum spp,,,128489,exact,Anthoptilum,Kölliker 1880,128489,Animalia,Cnidaria,Anthozoa,Pennatulacea,Anthoptilidae,Anthoptilum,,,,1
61933001XX,PZL,Paramuricea spp,,,125311,exact,Paramuricea,Koelliker 1865,125311,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Paramuricea,,,,1
61918003XX,QYX,Stichopathes spp,,,103308,exact,Stichopathes,Brook 1889,103308,Animalia,Cnidaria,Anthozoa,Antipatharia,Antipathidae,Stichopathes,,,,1
61929XXXXX,NYZ,Nephtheidae,,,146762,exact,Nephtheidae,Gray 1862,146762,Animalia,Cnidaria,Anthozoa,Alcyonacea,Nephtheidae,,,,,1
61928001XX,BXX,Anthomastus spp,,,125285,exact,Anthomastus,Verrill 1878,125285,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Anthomastus,,,,1
618XXXXXXX,SZY,Scyphozoa,,,135220,exact,Scyphozoa,Götte 1887,135220,Animalia,Cnidaria,Scyphozoa,,,,,,,1
23021XXXXX,CZM,Paguridae,,,106738,exact,Paguridae,Latreille 1802,106738,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,,,,,1
56702XXXXX,ITV,Phalacrocoracidae,,,136993,exact,Phalacrocoracidae,,136993,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,,,,,1
56201XXXXX,TZH,Anatidae,,,136973,exact,Anatidae,,136973,Animalia,Chordata,Aves,Anseriformes,Anatidae,,,,,1
56705XXXXX,HBB,Alcidae,,,136987,exact,Alcidae,,136987,Animalia,Chordata,Aves,Charadriiformes,Alcidae,,,,,1
30742009XX,DVX,Adelomelon spp,,,382310,exact,Adelomelon,Dall 1906,382310,Animalia,Mollusca,Gastropoda,Neogastropoda,Volutidae,Adelomelon,,,,0
30708010XX,DMX,Austrofusus spp,,,490630,exact,Austrofusus,Kobelt 1879,490630,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Austrofusus,,,,0
30752002XX,DAX,Crepipatella spp,,,234136,exact,Crepipatella,Lesson 1831,234136,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepipatella,,,,1
